Name,Pos,Team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Total,SP,FA,5129,8.1,2.9,1.2,0.297,72.00%,4.19,4.21,59.8
Total,SP,PHI,951,8.3,2.6,1.1,0.294,73.30%,3.79,3.9,16
Total,SP,LAD,932,9.5,2.9,1.2,0.295,73.40%,3.85,3.84,15.5
Total,SP,ATL,937,9.5,2.8,1.1,0.298,73.20%,3.78,3.71,14.9
Total,SP,MIN,923,9,2.4,1.3,0.294,72.60%,3.98,3.9,14.4
Total,SP,PIT,933,8.8,3,1.1,0.299,72.10%,4.01,3.95,14.3
Total,SP,KCR,942,8.4,2.8,1.1,0.303,71.80%,4.04,3.94,14.2
Total,SP,TEX,922,9.1,2.7,1.2,0.291,72.90%,3.96,3.97,14.2
Total,SP,SEA,947,8.7,2.1,1.2,0.287,73.60%,3.7,3.78,13.6
Total,SP,NYY,921,9.3,2.9,1.3,0.288,73.60%,3.96,4.06,13.5
Total,SP,TBR,919,9.3,2.8,1.2,0.291,73.70%,3.81,3.86,13.5
Total,SP,MIA,930,8.6,2.9,1.1,0.301,72.40%,4,3.95,13.5
Total,SP,HOU,939,8.9,3.2,1.1,0.299,72.60%,4.02,4.02,12.6
Total,SP,DET,926,8.3,2.7,1.1,0.293,72.40%,3.9,3.93,12.5
Total,SP,STL,932,7.7,2.7,1.1,0.299,72.10%,4.02,4.04,12
Total,SP,SDP,925,8.7,3.1,1.2,0.291,72.60%,4.1,4.19,11.8
Total,SP,CIN,926,8.6,3.1,1.4,0.299,71.60%,4.54,4.51,11.7
Total,SP,MIL,921,9.1,3.2,1.3,0.291,73.00%,4.11,4.19,11.5
Total,SP,ARI,930,8.2,2.7,1.2,0.303,71.70%,4.14,4,11.3
Total,SP,CHC,926,8.3,2.7,1.2,0.295,72.70%,4.03,4.07,11.3
Total,SP,BOS,920,7.8,2.9,1.2,0.305,70.60%,4.35,4.22,11.2
Total,SP,BAL,922,8.2,2.8,1.2,0.292,73.00%,4.03,4.14,10.9
Total,SP,CHW,905,8.3,3.4,1.3,0.291,72.30%,4.33,4.46,10.7
Total,SP,TOR,953,8.3,2.9,1.3,0.292,72.00%,4.2,4.23,10.6
Total,SP,NYM,927,8.4,3.3,1.1,0.292,73.00%,4.02,4.19,10.3
Total,SP,SFG,924,8.7,3.1,1,0.299,72.30%,3.95,3.91,10.3
Total,SP,WSH,912,8.4,3.5,1.2,0.29,72.50%,4.23,4.39,9.3
Total,SP,LAA,925,7.5,3.2,1.3,0.298,71.30%,4.5,4.58,8.5
Total,SP,COL,917,7,2.8,1.4,0.313,69.00%,5.05,4.74,8.3
Total,SP,CLE,912,8.4,3.3,1.3,0.293,72.20%,4.33,4.38,8
Total,SP,ATH,919,7.1,3,1.2,0.288,71.30%,4.33,4.53,7.2
Mason Miller,RP,ATH,68,13.3,3.1,0.7,0.282,79.20%,2.47,2.44,2.2
Jacob deGrom,SP,TEX,176,12.2,1.8,1,0.286,76.70%,2.85,2.62,6
Félix Bautista,RP,BAL,64,13.1,3.4,0.8,0.285,78.50%,2.7,2.68,1.8
Total,RP,MIN,535,9.2,3.1,1,0.299,73.20%,3.8,3.78,5.2
Paul Skenes,SP,PIT,188,11.6,2.6,0.8,0.3,76.20%,2.81,2.68,5.8
Jhoan Duran,RP,MIN,65,11.2,3,0.6,0.306,76.10%,2.8,2.74,1.7
Edwin Díaz,RP,NYM,66,12.4,3.2,0.8,0.285,76.50%,2.89,2.81,1.6
Total,RP,BAL,536,9.1,3.5,1.1,0.293,74.00%,3.8,3.95,4.2
Tarik Skubal,SP,DET,199,10.7,2.1,0.9,0.29,76.40%,2.89,2.9,5.2
Total,RP,MIL,537,9.4,3.5,1.1,0.294,74.10%,3.78,3.9,4
Total,RP,PHI,507,8.7,3.5,1.2,0.291,73.40%,4.02,4.22,4
Garrett Crochet,SP,CHW,170,11.8,2.7,0.9,0.29,76.90%,2.93,2.92,4.9
Andrés Muñoz,RP,SEA,65,11.7,3.5,0.7,0.291,77.20%,2.83,2.95,1.2
Chris Sale,SP,ATL,187,11.1,2.3,0.9,0.296,75.60%,3.07,2.96,4.5
Emmanuel Clase,RP,CLE,70,9.3,2.2,0.7,0.308,74.40%,3.08,2.97,1.4
Spencer Strider,SP,ATL,101,11.9,2.9,1,0.292,75.90%,3.19,3.06,2.5
Tyler Glasnow,SP,LAD,153,11.2,2.6,1,0.296,75.20%,3.23,3.07,3.9
Matt Brash,RP,SEA,28,11.5,3.6,0.8,0.288,77.40%,2.91,3.09,0.1
Ryan Walker,RP,SFG,72,10.7,2.9,0.8,0.296,75.30%,3.09,3.09,1.1
Total,RP,ATL,521,9.4,3.3,1,0.298,73.80%,3.79,3.83,3.7
Total,RP,HOU,519,9.4,3.5,1.1,0.293,73.40%,3.96,4.02,3.7
Griffin Jax,RP,MIN,71,10.6,2.6,0.9,0.3,74.90%,3.21,3.1,1.3
Aroldis Chapman,RP,FA,66,13,4.8,0.8,0.29,78.60%,2.93,3.14,0.9
Ryan Helsley,RP,STL,67,11.4,3.4,0.9,0.287,76.90%,3.08,3.15,1.5
Aaron Bummer,RP,ATL,62,10.1,3.5,0.6,0.31,75.50%,3.07,3.15,0.9
Josh Hader,RP,HOU,70,12.7,3.6,1,0.281,77.80%,3.12,3.16,1.5
Cade Smith,RP,CLE,72,11.1,3.2,0.9,0.294,75.60%,3.18,3.18,1.2
Devin Williams,RP,MIL,66,11.9,4.1,0.8,0.29,76.80%,3.1,3.2,1.2
Camilo Doval,RP,SFG,64,10.8,3.9,0.7,0.301,75.00%,3.2,3.21,0.7
Justin Martinez,RP,ARI,70,11.2,4.6,0.6,0.308,76.00%,3.12,3.22,1.1
Total,RP,NYM,531,9.1,3.6,1.1,0.289,73.90%,3.84,4.02,3.4
Chris Martin,RP,FA,54,9.2,1.8,0.9,0.3,74.10%,3.29,3.22,0.7
Total,RP,KCR,516,8.3,3.3,1,0.302,72.20%,4.06,4.04,3.3
Brock Stewart,RP,MIN,61,11.4,3.5,0.9,0.294,75.90%,3.27,3.24,0.6
Tanner Scott,RP,FA,72,11.1,4,0.8,0.297,76.80%,3.07,3.26,1
Drew Rasmussen,SP,TBR,43,9.2,2.2,0.9,0.299,73.90%,3.34,3.27,0.9
Total,RP,BOS,538,8.7,3.5,1.1,0.302,72.30%,4.11,4.09,3.2
Drew Rasmussen,RP,TBR,48,9.2,2.2,0.9,0.299,73.90%,3.34,3.27,0.1
Clay Holmes,RP,FA,66,9.2,3.3,0.6,0.309,74.40%,3.21,3.28,0.8
Total,RP,ARI,528,8.6,3.4,1,0.303,72.60%,3.96,3.94,3.1
Jeff Hoffman,RP,FA,68,11,3.1,1,0.289,75.70%,3.27,3.29,1
Orion Kerkering,RP,PHI,67,10.3,3,0.9,0.294,75.30%,3.19,3.29,1.3
Logan Webb,SP,SFG,204,7.8,2,0.8,0.311,72.00%,3.48,3.29,3.6
Total,RP,CLE,546,9,3.4,1.1,0.295,73.20%,3.97,4.03,3
David Robertson,RP,FA,65,11.1,3.5,0.9,0.294,75.70%,3.28,3.3,0.8
Bryan Abreu,RP,HOU,75,11.4,3.6,0.9,0.293,75.40%,3.32,3.32,1
Joe Kelly,RP,FA,44,10.7,4,0.7,0.302,75.60%,3.23,3.34,0.5
Blake Snell,SP,FA,176,11.6,3.9,1,0.291,75.90%,3.36,3.35,3.7
Shane McClanahan,SP,TBR,178,10,2.6,1,0.294,75.30%,3.32,3.35,3.6
Sonny Gray,SP,STL,185,9.6,2.5,1,0.298,73.80%,3.43,3.36,3.7
A.J. Puk,RP,ARI,68,10.5,3.1,0.9,0.297,74.80%,3.38,3.37,1
Lucas Erceg,RP,KCR,67,10.3,3.5,0.8,0.303,74.20%,3.42,3.37,1.1
Kevin Ginkel,RP,ARI,66,9.7,2.9,0.9,0.304,73.50%,3.52,3.37,0.7
Matt Strahm,RP,PHI,68,10.7,2.6,1.1,0.283,76.30%,3.26,3.38,1.4
Raisel Iglesias,RP,ATL,70,10,2.5,1,0.296,74.70%,3.45,3.39,0.9
Zack Wheeler,SP,PHI,201,9.6,2.3,1,0.288,74.80%,3.31,3.4,4.7
Jeremiah Estrada,RP,SDP,64,11.9,4,1,0.285,76.80%,3.32,3.42,0.8
Total,RP,STL,526,8.1,3.3,1,0.298,73.20%,3.87,4.02,2.8
Ryan Pressly,RP,HOU,64,9.5,2.7,0.9,0.303,73.80%,3.5,3.42,0.8
Trevor Megill,RP,MIL,65,11,3.2,1.1,0.29,75.00%,3.48,3.43,1
Pete Fairbanks,RP,TBR,60,10.4,3.4,0.9,0.291,74.80%,3.39,3.43,0.9
Framber Valdez,SP,HOU,195,8.7,2.9,0.8,0.311,73.30%,3.43,3.43,3.7
Erik Miller,RP,SFG,67,11.2,4.4,0.8,0.291,76.70%,3.23,3.44,0.4
Total,RP,ATH,539,8.6,4,1,0.289,73.50%,3.91,4.17,2.7
Hunter Harvey,RP,KCR,62,9.7,2.9,0.9,0.302,72.70%,3.62,3.44,0.8
Total,RP,SDP,533,8.8,3.6,1.1,0.292,73.50%,3.98,4.17,2.6
Yennier Cano,RP,BAL,66,9,3.1,0.8,0.304,74.40%,3.34,3.44,0.7
Logan Gilbert,SP,SEA,201,9.4,1.9,1.1,0.288,74.50%,3.42,3.45,3.6
Yoshinobu Yamamoto,SP,LAD,181,9.7,2.4,1.1,0.298,74.10%,3.52,3.46,3.7
Max Fried,SP,FA,170,8.5,2.6,0.8,0.305,74.20%,3.38,3.46,3.2
Evan Phillips,RP,LAD,64,10.2,2.8,1,0.294,75.00%,3.46,3.47,0.9
Total,RP,NYY,537,9,3.2,1.2,0.291,73.90%,3.92,4.09,2.5
Total,RP,SFG,534,8.7,3.2,1,0.298,72.90%,3.82,3.87,2.5
Keegan Akin,RP,BAL,72,10,2.6,1.1,0.287,76.80%,3.28,3.47,0.8
Total,RP,DET,532,8.2,2.9,1,0.295,72.80%,3.83,3.91,2.4
Total,RP,TBR,539,9,3.2,1.1,0.291,73.60%,3.84,3.95,2.4
Ben Joyce,RP,LAA,64,11.3,4.2,0.9,0.296,75.70%,3.36,3.49,1
Gregory Santos,RP,SEA,63,9.4,3.3,0.8,0.295,74.70%,3.34,3.5,0.7
Fernando Cruz,RP,CIN,70,12,3.8,1.1,0.293,75.80%,3.57,3.51,1.1
Cole Ragans,SP,KCR,195,10.2,3.4,1,0.297,74.70%,3.51,3.51,3.9
Liam Hendriks,RP,BOS,64,10.1,2.6,1.1,0.296,73.50%,3.68,3.51,1
Pablo López,SP,MIN,196,9.5,2.2,1.1,0.299,73.30%,3.62,3.51,3.7
Corbin Burnes,SP,FA,200,9.3,2.5,1,0.298,73.00%,3.62,3.51,4
George Kirby,SP,SEA,180,8.5,1.4,1.2,0.288,73.20%,3.51,3.51,3.3
Dylan Cease,SP,SDP,191,10.7,3.3,1.1,0.288,75.20%,3.49,3.52,3.7
José Alvarado,RP,PHI,64,10.5,4,0.9,0.294,76.20%,3.28,3.52,0.9
Gregory Soto,RP,BAL,59,10.2,3.8,0.8,0.297,75.60%,3.31,3.52,0.3
Blake Treinen,RP,FA,65,9.5,2.9,1,0.299,73.70%,3.56,3.52,0.7
Pierce Johnson,RP,ATL,65,10.8,3.7,1,0.298,75.50%,3.53,3.53,0.7
Shohei Ohtani,SP,LAD,165,10.5,2.9,1.1,0.292,75.00%,3.49,3.53,3.4
Will Vest,RP,DET,70,8.8,2.9,0.9,0.298,73.90%,3.47,3.53,0.5
Total,RP,SEA,511,8.7,3.3,1,0.29,74.00%,3.74,3.98,2.2
Total,RP,LAD,526,8.9,3.3,1.2,0.292,73.30%,4.09,4.22,2.2
Luke Little,RP,CHC,59,11.2,4.8,0.7,0.296,76.70%,3.19,3.54,0.3
Kris Bubic,RP,KCR,66,9.2,2.8,1,0.304,74.10%,3.56,3.55,0.8
Yimi García,RP,FA,60,10,2.8,1.1,0.29,74.40%,3.53,3.56,0.7
A.J. Minter,RP,FA,43,10,3.1,1,0.289,75.30%,3.45,3.56,0.5
Jason Adam,RP,SDP,70,10.5,3.2,1,0.286,74.00%,3.52,3.58,0.9
Robert Garcia,RP,WSH,63,9.8,3.3,0.9,0.29,75.70%,3.37,3.58,0.7
Andrew Nardi,RP,MIA,60,11,3.6,1,0.292,75.70%,3.51,3.59,0.4
Tim Herrin,RP,CLE,66,9.8,3.6,0.9,0.3,75.00%,3.46,3.59,0.4
Louie Varland,SP,MIN,9,9,2.3,1,0.302,73.70%,3.62,3.59,0.2
Louie Varland,RP,MIN,48,9,2.3,1,0.302,73.70%,3.62,3.59,0.1
Sean Hjelle,RP,SFG,56,7.7,2.3,0.8,0.308,72.10%,3.64,3.59,0.2
Total,RP,MIA,528,8.5,3.4,1.1,0.299,72.40%,4.14,4.17,2
Joe Jiménez,RP,ATL,28,10.4,3.1,1.1,0.294,73.90%,3.69,3.6,0.1
Dylan Lee,RP,ATL,63,10.1,2.9,1.1,0.291,75.80%,3.52,3.6,0.4
Dedniel Núñez,RP,NYM,63,10,3.3,1,0.285,75.50%,3.44,3.61,0.6
Cristopher Sánchez,SP,PHI,179,7.9,2.5,0.9,0.302,73.70%,3.47,3.61,3.4
Mark Leiter Jr.,RP,NYY,61,10.4,3.1,1.1,0.29,74.90%,3.54,3.62,0.6
Cole Sands,RP,MIN,70,9.7,2.8,1.1,0.295,73.30%,3.7,3.62,0.7
Huascar Ynoa,RP,ATL,54,9.4,2.9,1,0.303,73.60%,3.68,3.62,0.1
Justin Steele,SP,CHC,170,8.8,2.5,1,0.3,73.70%,3.58,3.62,2.8
Brant Hurter,SP,DET,9,7.6,2.1,0.9,0.299,73.00%,3.51,3.62,0.2
Brant Hurter,RP,DET,52,7.6,2.1,0.9,0.299,73.00%,3.51,3.62,0.1
Garrett Whitlock,SP,BOS,9,8.9,2.3,1.1,0.302,72.60%,3.78,3.63,0.2
Garrett Whitlock,RP,BOS,24,8.9,2.3,1.1,0.302,72.60%,3.78,3.63,0.1
Total,RP,LAA,533,8.9,3.7,1.2,0.295,73.10%,4.21,4.34,1.8
Shane Bieber,SP,FA,95,8.7,2.3,1.1,0.301,73.00%,3.71,3.63,1.6
Total,RP,CIN,532,8.9,3.8,1.3,0.299,72.50%,4.48,4.53,1.8
Total,RP,PIT,525,8.3,3.6,1.1,0.298,71.90%,4.25,4.27,1.8
Taylor Rogers,RP,SFG,62,9.8,3.3,1,0.296,74.30%,3.6,3.64,0.3
Caleb Ferguson,RP,FA,54,9.8,3.7,0.9,0.298,74.80%,3.48,3.65,0.4
Ryan Burr,RP,TOR,62,9.8,3.1,1,0.293,74.40%,3.63,3.65,0.4
Hunter Brown,SP,HOU,177,9.4,3.1,1,0.302,73.00%,3.72,3.65,3.2
Drey Jameson,RP,ARI,44,8.6,2.8,0.9,0.306,72.50%,3.73,3.65,0.1
Kirby Yates,RP,FA,61,11,4.2,1,0.291,75.10%,3.58,3.66,0.5
Garrett Cleavinger,RP,TBR,64,10.9,4,1,0.291,75.20%,3.55,3.66,0.5
Reed Garrett,RP,NYM,68,10.1,3.8,1,0.288,75.70%,3.45,3.67,0.8
Joe Ryan,SP,MIN,169,10,2.1,1.3,0.287,73.70%,3.75,3.67,3.4
Ian Hamilton,RP,NYY,64,9.7,3.4,1,0.292,75.10%,3.48,3.67,0.7
Anthony Bender,RP,MIA,64,9.2,3.2,0.9,0.305,73.40%,3.69,3.67,0.5
Brusdar Graterol,RP,LAD,26,8.2,2.7,0.9,0.303,73.40%,3.57,3.67,0.1
Sandy Alcantara,SP,MIA,199,8.1,2.3,1,0.306,71.60%,3.84,3.67,3.5
Abner Uribe,RP,MIL,53,10.7,4.8,0.8,0.298,75.50%,3.48,3.68,0.2
Jack Flaherty,SP,FA,164,9.9,2.8,1.1,0.296,74.00%,3.71,3.68,2.8
Alex Cobb,SP,FA,145,7.7,2.5,0.9,0.309,72.20%,3.73,3.68,2.4
Nick Mears,RP,MIL,54,10.9,4,1,0.291,75.30%,3.63,3.69,0.1
Yusei Kikuchi,SP,FA,168,9.8,2.8,1.2,0.295,74.50%,3.66,3.69,2.9
Braxton Garrett,SP,MIA,116,8.1,2.2,1,0.307,71.90%,3.79,3.69,2
Braxton Garrett,RP,MIA,26,8.1,2.2,1,0.307,71.90%,3.79,3.69,0.1
Seranthony Domínguez,RP,BAL,62,10,3.3,1.1,0.292,74.00%,3.68,3.7,0.7
Seranthony Domínguez,RP,FA,60,10,3.3,1.1,0.292,74.00%,3.68,3.7,0.6
Grayson Rodriguez,SP,BAL,172,9.5,2.9,1.1,0.293,74.50%,3.61,3.7,2.8
Total,RP,TOR,505,8.4,3.3,1.1,0.294,72.90%,4.01,4.13,1.5
Gabe Speier,RP,SEA,48,9.3,3.1,1,0.289,75.20%,3.46,3.7,0.1
Bryan Hudson,RP,MIL,60,9.8,3.3,1,0.293,75.50%,3.52,3.71,0.4
Michael Grove,RP,LAD,54,9.6,2.6,1.2,0.295,74.30%,3.66,3.71,0.1
Zac Gallen,SP,ARI,183,9,2.8,1,0.305,72.00%,3.93,3.71,2.8
Kody Funderburk,RP,MIN,46,9,3.5,0.8,0.302,74.10%,3.57,3.71,0.1
JoJo Romero,RP,STL,62,8.8,3.1,0.9,0.299,75.00%,3.48,3.71,0.3
Nathan Eovaldi,SP,FA,168,8.6,2.4,1.1,0.299,72.90%,3.73,3.71,2.7
Jonathan Loáisiga,RP,FA,36,7.8,2.8,0.9,0.303,73.10%,3.63,3.71,0.4
Jason Foley,RP,DET,64,7.7,2.8,0.8,0.303,72.30%,3.72,3.71,0.4
Will Warren,SP,NYY,9,8.9,2.6,1,0.295,73.70%,3.64,3.72,0.1
Will Warren,RP,NYY,28,8.9,2.6,1,0.295,73.70%,3.64,3.72,0
Spencer Schwellenbach,SP,ATL,172,8.7,2.2,1.1,0.299,72.60%,3.79,3.72,2.7
Angel Perdomo,RP,ATL,53,11.1,4.1,1,0.291,75.90%,3.56,3.73,0.1
Robert Suarez,RP,SDP,65,9.6,3.1,1.1,0.291,74.80%,3.6,3.73,0.8
Dustin May,SP,LAD,82,9.5,3.1,1.1,0.299,73.40%,3.73,3.73,1.5
Dustin May,RP,LAD,40,9.5,3.1,1.1,0.299,73.40%,3.73,3.73,0.1
Tyler Holton,RP,DET,75,8.1,2.5,1,0.293,73.60%,3.6,3.73,0.5
Kevin Kelly,RP,TBR,54,8,2.4,0.9,0.301,72.10%,3.71,3.73,0.1
Michel Otañez,RP,ATH,64,10.7,4.7,0.8,0.288,75.40%,3.47,3.74,0.5
Alex Lange,RP,DET,50,10.1,4.4,0.8,0.297,74.00%,3.65,3.74,0.1
Ben Brown,SP,CHC,81,10,3.4,1.1,0.291,74.20%,3.7,3.74,1.4
Ben Brown,RP,CHC,30,10,3.4,1.1,0.291,74.20%,3.7,3.74,0.1
Jordan Romano,RP,TOR,64,9.8,3.3,1.1,0.29,73.80%,3.72,3.75,0.5
Shota Imanaga,SP,CHC,190,9.1,1.9,1.3,0.289,74.90%,3.66,3.75,3.2
Jared Koenig,RP,MIL,63,9.1,3,1,0.295,74.60%,3.59,3.75,0.5
Danny Coulombe,RP,FA,53,9.1,2.9,1.1,0.295,74.40%,3.67,3.75,0.3
Brandon Woodruff,SP,MIL,176,9.6,2.4,1.2,0.29,73.70%,3.76,3.76,2.9
Total,RP,CHC,532,9,3.6,1.1,0.293,73.40%,3.98,4.11,1.3
Luis Castillo,SP,SEA,184,9.1,2.5,1.2,0.287,74.30%,3.63,3.76,2.8
Adrian Morejon,RP,SDP,58,9.5,3.3,1,0.293,74.90%,3.6,3.77,0.3
Adrian Morejon,SP,SDP,9,9.5,3.3,1,0.293,74.90%,3.6,3.77,0.1
Kevin Gausman,SP,TOR,196,9,2.5,1.2,0.293,72.90%,3.86,3.77,3
Grant Holmes,RP,ATL,60,8.9,2.7,1.1,0.301,72.90%,3.85,3.77,0.2
Grant Holmes,SP,ATL,9,8.9,2.7,1.1,0.301,72.90%,3.85,3.77,0.1
Luis García,RP,FA,58,8.2,2.8,0.9,0.304,72.10%,3.79,3.77,0.4
Angel Zerpa,RP,KCR,60,8,3,0.9,0.307,73.30%,3.69,3.77,0.2
Yuki Matsui,RP,SDP,55,10.4,3.8,1.1,0.288,76.30%,3.56,3.78,0.1
Julian Merryweather,RP,CHC,61,9.9,3.6,1,0.294,74.30%,3.71,3.78,0.2
Justin Slaten,RP,BOS,66,9.3,3.3,1,0.302,73.00%,3.86,3.78,0.8
Brenan Hanifee,RP,DET,58,7.2,2.4,0.9,0.301,72.30%,3.73,3.78,0.2
Michael McGreevy,SP,STL,19,6.8,1.9,1,0.301,72.30%,3.72,3.78,0.3
Michael McGreevy,RP,STL,38,6.8,1.9,1,0.301,72.30%,3.72,3.78,0
Total,RP,WSH,546,7.7,3.5,1.1,0.293,72.40%,4.2,4.4,1.2
Craig Yoho,RP,MIL,47,9.9,3.7,1,0.295,74.30%,3.7,3.79,0.1
Gerrit Cole,SP,NYY,189,9.7,2.4,1.3,0.287,74.10%,3.78,3.79,3.4
Reynaldo López,SP,ATL,179,9.5,3.1,1.1,0.297,72.90%,3.9,3.79,2.7
Manuel Rodríguez,RP,TBR,62,8.8,3.4,0.9,0.301,73.20%,3.71,3.79,0.2
Daysbel Hernández,RP,ATL,58,10.5,4.2,1,0.297,74.40%,3.75,3.8,0.3
David Bednar,RP,PIT,67,9.7,3.4,1.1,0.292,73.30%,3.83,3.8,0.9
Jacob Waguespack,RP,TBR,28,9.5,3.5,1,0.294,74.00%,3.73,3.8,0
Carson Ragsdale,RP,SFG,22,9.3,3.2,1.1,0.292,73.40%,3.78,3.8,0
