Name,Pos,Team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Adam Kloffenstein,RP,STL,35,7.3,3.2,1.1,0.297,71.50%,4.19,4.34,0
Jacob Latz,RP,TEX,59,9.4,4.2,1.2,0.286,74.50%,4.06,4.35,0.1
Eric Reyzelman,RP,NYY,10,9.4,4.1,1.2,0.288,73.70%,4.18,4.35,0
Kelvin Caceres,RP,LAA,42,9.3,4.6,1.1,0.299,73.20%,4.18,4.35,0
Logan VanWey,RP,HOU,10,8.9,4.3,1.1,0.295,72.70%,4.21,4.35,0
Cade Povich,SP,BAL,125,8.2,3.3,1.2,0.287,73.30%,4.11,4.35,1.3
Hogan Harris,SP,ATH,18,8.2,3.9,1.1,0.287,73.50%,4.01,4.35,0.2
Cade Povich,RP,BAL,22,8.2,3.3,1.2,0.287,73.30%,4.11,4.35,0
Hogan Harris,RP,ATH,53,8.2,3.9,1.1,0.287,73.50%,4.01,4.35,0
Collin Snider,RP,SEA,66,8.1,3.7,1.1,0.29,73.10%,4.12,4.35,-0.1
Tyler Gilbert,RP,PHI,58,7.5,2.7,1.3,0.291,73.20%,4.11,4.35,0
Max Lazar,RP,PHI,50,7.4,3,1.2,0.295,72.10%,4.2,4.35,0.1
Edgardo Henriquez,RP,LAD,50,9.4,4.2,1.2,0.291,73.60%,4.19,4.36,0.1
Rico Garcia,RP,NYM,22,9.4,3.8,1.3,0.28,73.90%,4.14,4.36,0
Ethan Roberts,RP,CHC,53,8.8,3.8,1.2,0.294,72.90%,4.24,4.36,0
Francis Pena,RP,SDP,36,7.5,3.6,1.1,0.298,72.40%,4.16,4.36,0
Yoniel Curet,RP,TBR,10,9.5,4.5,1.1,0.286,73.30%,4.12,4.37,0
Enyel De Los Santos,RP,CHW,48,9,3.5,1.3,0.289,73.70%,4.17,4.37,0.1
Cade Cavalli,SP,WSH,120,8.3,3.4,1.2,0.292,71.70%,4.28,4.37,1.3
Cade Cavalli,RP,WSH,12,8.3,3.4,1.2,0.292,71.70%,4.28,4.37,0
Christian MacLeod,RP,MIN,12,8.2,3.9,1.1,0.295,73.00%,4.19,4.37,0
Bryan Mata,RP,BOS,36,8.1,4.1,1,0.304,71.50%,4.35,4.37,0
Kyle Brnovich,RP,BAL,21,7.8,3.2,1.2,0.294,72.20%,4.22,4.37,0
Matt Bowman,RP,FA,30,7.6,3.5,1.1,0.301,71.80%,4.31,4.37,0
Jakob Junis,SP,FA,106,7.5,2.4,1.3,0.297,70.80%,4.42,4.37,1
Paul Blackburn,SP,NYM,155,7.4,2.7,1.3,0.295,71.80%,4.29,4.37,1.4
Garrett Burhenn,RP,DET,12,7,2.7,1.2,0.29,71.50%,4.25,4.37,0
Chandler Champlain,RP,KCR,8,6.6,2.7,1.1,0.302,70.50%,4.4,4.37,0
Blas Castano,SP,SEA,9,6.9,2.8,1.1,0.291,71.80%,4.13,4.38,0.1
Blas Castano,RP,SEA,22,6.9,2.8,1.1,0.291,71.80%,4.13,4.38,0
Josh Staumont,RP,FA,37,8.9,4.3,1.1,0.292,72.80%,4.27,4.39,0
Lance Lynn,SP,FA,153,8.4,2.9,1.4,0.292,71.70%,4.39,4.39,1.7
Justin Sterner,RP,ATH,57,8.2,3.5,1.2,0.281,72.90%,4.14,4.39,0
Hayden Juenger,RP,TOR,24,8.1,3.3,1.2,0.29,72.20%,4.25,4.39,0
Easton Lucas,RP,TOR,26,8,3.6,1.2,0.289,73.40%,4.12,4.39,0
Kai-Wei Teng,RP,SFG,30,7.8,3.6,1.1,0.297,71.10%,4.31,4.39,0
Jose Quintana,SP,FA,163,7.3,3.3,1.1,0.301,71.60%,4.35,4.39,1.4
Brandon Birdsell,SP,CHC,9,7.3,2.4,1.3,0.29,71.60%,4.27,4.39,0.1
Brandon Birdsell,RP,CHC,21,7.3,2.4,1.3,0.29,71.60%,4.27,4.39,0
Jhony Brito,SP,SDP,18,7.1,2.9,1.2,0.296,71.60%,4.26,4.39,0.2
Blake Beers,RP,ATH,24,7.1,2.9,1.2,0.286,71.80%,4.13,4.39,0
Jhony Brito,RP,SDP,40,7.1,2.9,1.2,0.296,71.60%,4.26,4.39,0
Trevor Richards,RP,FA,50,9.4,4.1,1.3,0.289,73.60%,4.29,4.4,0
Kutter Crawford,SP,BOS,187,8.5,2.7,1.5,0.293,71.10%,4.5,4.4,2.3
Mike Burrows,SP,PIT,18,8,3.3,1.2,0.294,71.50%,4.39,4.4,0.2
Mike Burrows,RP,PIT,30,8,3.3,1.2,0.294,71.50%,4.39,4.4,0
Mason Black,SP,SFG,53,7.9,3.1,1.2,0.294,70.90%,4.41,4.4,0.3
Mason Black,RP,SFG,28,7.9,3.1,1.2,0.294,70.90%,4.41,4.4,0
Jacob Barnes,RP,FA,46,7.7,3.1,1.2,0.297,71.80%,4.36,4.4,0
Geoff Hartlieb,RP,NYY,24,7.7,3.4,1.2,0.293,72.70%,4.18,4.4,0
Adam Mazur,SP,MIA,9,7.4,2.5,1.3,0.295,71.00%,4.43,4.4,0.1
Adam Mazur,RP,MIA,10,7.4,2.5,1.3,0.295,71.00%,4.43,4.4,0
Jameson Taillon,SP,CHC,168,7.2,2.2,1.4,0.296,70.50%,4.48,4.4,1.3
Steven Okert,RP,HOU,30,9.5,3.8,1.3,0.286,73.50%,4.24,4.41,0
McKinley Moore,RP,NYY,26,9.2,4.7,1.1,0.292,73.60%,4.13,4.41,0
Daniel Robert,RP,TEX,63,8.7,3.7,1.3,0.289,72.80%,4.26,4.41,0.1
Gavin Hollowell,RP,CHC,26,8.7,3.8,1.2,0.291,72.60%,4.26,4.41,0
Brandon Hughes,RP,ARI,50,8.6,3.7,1.2,0.294,72.30%,4.35,4.41,-0.1
Aaron Civale,SP,MIL,143,8.5,2.7,1.5,0.293,72.10%,4.42,4.41,1.5
Miguel Castro,RP,FA,42,7.9,3.7,1.1,0.298,71.50%,4.35,4.41,0
Logan Evans,SP,SEA,9,7.4,3.2,1.2,0.29,72.20%,4.18,4.41,0.1
Logan Evans,RP,SEA,10,7.4,3.2,1.2,0.29,72.20%,4.18,4.41,0
Austin Kitchen,RP,SEA,24,6.1,2.9,1,0.294,72.80%,4.02,4.41,0
Tony Santillan,RP,CIN,63,10,4.1,1.3,0.296,73.20%,4.37,4.42,0.1
Ronel Blanco,SP,HOU,169,8.9,3.7,1.3,0.293,72.40%,4.38,4.42,1.6
Fraser Ellard,RP,CHW,65,8.5,4.4,1.1,0.295,73.90%,4.08,4.42,0.1
Colin Poche,RP,TBR,61,8.5,3.5,1.3,0.285,73.10%,4.25,4.42,-0.1
Bowden Francis,SP,TOR,158,8.3,2.5,1.5,0.283,71.90%,4.31,4.42,1.6
Peter Strzelecki,RP,CLE,42,8.2,3.3,1.2,0.296,71.40%,4.41,4.42,0
Jake Bird,RP,COL,50,7.9,3.6,1.1,0.318,70.30%,4.65,4.42,0
Drew Smith,RP,FA,12,9,3.6,1.3,0.286,73.30%,4.28,4.43,0
Ryan Och,RP,SDP,19,9,4.6,1.1,0.293,74.00%,4.13,4.43,0
Sean Newcomb,RP,FA,35,8.9,4.6,1.1,0.294,73.50%,4.18,4.43,0
Marc Church,RP,TEX,53,8.8,3.8,1.3,0.29,72.80%,4.31,4.43,0
Vinny Nittoli,RP,MIL,19,8.3,3.1,1.3,0.289,72.30%,4.31,4.43,0
Justin Lawrence,RP,COL,58,8.2,4.1,1.1,0.317,70.60%,4.62,4.43,0
Gus Varland,RP,CHW,62,8.1,3.5,1.2,0.294,72.60%,4.26,4.43,0
Cody Bradford,SP,TEX,127,7.7,2.2,1.5,0.285,72.30%,4.31,4.43,1.3
Cody Bradford,RP,TEX,15,7.7,2.2,1.5,0.285,72.30%,4.31,4.43,0
Tyler Alexander,SP,TBR,9,7.6,2,1.5,0.288,72.30%,4.34,4.43,0.1
Tyler Alexander,RP,TBR,44,7.6,2,1.5,0.288,72.30%,4.34,4.43,0
Tink Hence,SP,STL,37,7.5,3.3,1.2,0.295,71.60%,4.34,4.43,0.3
Kyle Tyler,RP,PHI,26,7.3,3.3,1.2,0.295,72.30%,4.22,4.43,0
Ryne Nelson,SP,ARI,144,7,2.5,1.3,0.3,70.40%,4.52,4.43,1
Joe Jacques,RP,LAD,31,6.9,3.4,1,0.303,72.60%,4.14,4.43,0
Brett de Geus,RP,TOR,33,6.6,3.4,1,0.303,71.10%,4.3,4.43,0
Andrew Alvarez,SP,WSH,9,6.5,3.3,1,0.298,72.30%,4.13,4.43,0.1
Andrew Alvarez,RP,WSH,15,6.5,3.3,1,0.298,72.30%,4.13,4.43,0
DJ Herz,SP,WSH,148,9.5,4.4,1.2,0.281,74.00%,4.14,4.44,1.5
Landon Knack,SP,LAD,44,8.8,2.8,1.5,0.287,72.50%,4.39,4.44,0.5
Landon Knack,RP,LAD,34,8.8,2.8,1.5,0.287,72.50%,4.39,4.44,0
Tyler Matzek,RP,FA,36,8.8,4.2,1.2,0.292,73.50%,4.25,4.44,-0.1
Jacob Webb,RP,BAL,61,8.5,3.8,1.2,0.29,72.90%,4.25,4.44,0
Dale Stanavich,RP,MIA,12,8.4,4.4,1.1,0.3,72.90%,4.28,4.44,0
Génesis Cabrera,RP,FA,40,8.3,3.9,1.2,0.292,73.00%,4.23,4.44,0
Anthony Maldonado,RP,ATH,44,8,3.6,1.2,0.284,72.80%,4.17,4.44,0
Joan Adon,RP,WSH,56,7.6,3.4,1.1,0.295,72.10%,4.24,4.44,0
Ryan Loutos,RP,STL,44,7.2,3.6,1.1,0.299,72.00%,4.3,4.44,0
Tyler Phillips,SP,PHI,18,6.5,2.8,1.1,0.298,71.40%,4.29,4.44,0.2
Tyler Phillips,RP,PHI,28,6.5,2.8,1.1,0.298,71.40%,4.29,4.44,0
Jack Dreyer,RP,LAD,24,8.8,3.9,1.3,0.29,74.10%,4.19,4.45,0
Chris Devenski,RP,NYM,50,8.3,3.1,1.4,0.284,72.00%,4.35,4.45,0
Adam Macko,SP,TOR,18,8,3.5,1.2,0.29,72.70%,4.2,4.45,0.1
Adam Macko,RP,TOR,15,8,3.5,1.2,0.29,72.70%,4.2,4.45,0
William Kempner,RP,SFG,21,8,3.8,1.1,0.297,71.40%,4.42,4.45,0
Keider Montero,SP,DET,118,7.7,3.2,1.2,0.291,71.50%,4.36,4.45,0.9
Keider Montero,RP,DET,21,7.7,3.2,1.2,0.291,71.50%,4.36,4.45,0
Jake Irvin,SP,WSH,178,7.5,2.9,1.3,0.295,71.50%,4.36,4.45,1.7
Marcus Stroman,SP,NYY,133,6.9,3,1.2,0.3,71.30%,4.38,4.45,1.2
Marcus Stroman,RP,NYY,21,6.9,3,1.2,0.3,71.30%,4.38,4.45,0
Spencer Arrighetti,SP,HOU,141,9.2,3.9,1.3,0.291,72.10%,4.41,4.46,1.2
Christian Roa,RP,MIA,15,8.7,4.3,1.1,0.296,72.20%,4.39,4.46,0
Devin Sweet,RP,PHI,43,8.7,3.6,1.3,0.286,72.90%,4.26,4.46,0
Camden Minacci,RP,LAA,21,8.5,3.9,1.2,0.299,72.40%,4.37,4.46,0
Giovanny Gallegos,RP,FA,49,8.4,3.2,1.4,0.289,72.50%,4.39,4.46,-0.1
Dean Kremer,SP,BAL,165,7.9,3,1.3,0.292,72.20%,4.36,4.46,1.4
Germán Márquez,SP,COL,160,7.6,2.9,1.3,0.317,70.00%,4.76,4.46,2.2
Luis L. Ortiz,SP,PIT,72,7.4,3.3,1.2,0.303,70.60%,4.54,4.46,0.6
Luis L. Ortiz,RP,PIT,53,7.4,3.3,1.2,0.303,70.60%,4.54,4.46,0
Evan Gates,RP,SFG,10,7.3,3.6,1.1,0.298,71.50%,4.4,4.46,0
J.T. Ginn,SP,ATH,136,6.3,3.2,1,0.297,70.90%,4.27,4.46,1.1
Eric Cerantola,RP,KCR,14,8.6,4.7,1,0.299,71.90%,4.39,4.47,0
Jonah Tong,SP,NYM,28,8.3,3.9,1.2,0.29,72.50%,4.29,4.47,0.2
Jaden Hill,RP,COL,32,8,3.6,1.2,0.315,70.00%,4.7,4.47,0
Michael Darrell-Hicks,RP,LAA,32,7.6,3,1.3,0.299,71.30%,4.41,4.47,0
Graham Ashcraft,SP,CIN,36,7.2,2.7,1.3,0.309,70.40%,4.56,4.47,0.4
Graham Ashcraft,RP,CIN,26,7.2,2.7,1.3,0.309,70.40%,4.56,4.47,0
Anthony DeSclafani,SP,FA,99,7,2.3,1.4,0.297,70.60%,4.5,4.47,0.8
Cooper Criswell,SP,BOS,96,6.5,2.7,1.1,0.31,69.10%,4.65,4.47,0.9
Cooper Criswell,RP,BOS,18,6.5,2.7,1.1,0.31,69.10%,4.65,4.47,0
Casey Lawrence,RP,SEA,21,6,1.8,1.3,0.289,71.30%,4.26,4.47,0
Nick Merkel,RP,MIL,18,7.8,3.5,1.2,0.294,72.10%,4.31,4.48,0
Mason Barnett,SP,ATH,46,7.7,3.6,1.2,0.285,71.90%,4.25,4.48,0.3
Ryan Webb,SP,CLE,28,7.5,3.4,1.2,0.297,71.90%,4.34,4.48,0.2
Ryan Webb,RP,CLE,19,7.5,3.4,1.2,0.297,71.90%,4.34,4.48,0
Caleb Kilian,SP,CHC,27,6.8,3.1,1.2,0.299,71.10%,4.37,4.48,0.3
Caleb Kilian,RP,CHC,38,6.8,3.1,1.2,0.299,71.10%,4.37,4.48,0
Matt Svanson,RP,STL,22,6.4,3.5,1,0.303,71.20%,4.31,4.48,0
Emilio Pagán,RP,CIN,66,9.4,3.1,1.6,0.29,73.30%,4.44,4.49,0.3
Yoendrys Gómez,RP,NYY,56,8.9,3.6,1.4,0.284,73.10%,4.29,4.49,-0.1
Tejay Antone,RP,CIN,15,8.6,3.7,1.3,0.301,72.20%,4.46,4.49,0
George Soriano,RP,MIA,44,8.4,3.8,1.2,0.296,71.80%,4.41,4.49,0
Osvaldo Bido,SP,ATH,106,8,3.5,1.2,0.283,71.50%,4.28,4.49,1
Osvaldo Bido,RP,ATH,15,8,3.5,1.2,0.283,71.50%,4.28,4.49,0
Grant Hartwig,RP,NYM,36,7.8,3.9,1.1,0.293,72.40%,4.22,4.49,0
Justin Verlander,SP,FA,139,7.6,2.4,1.4,0.286,71.20%,4.44,4.49,1.5
Landon Harper,RP,ATL,10,6.8,2.6,1.3,0.298,71.20%,4.44,4.49,0
Nick Hernandez,RP,HOU,48,8.9,3.5,1.4,0.284,72.70%,4.34,4.5,0
Buck Farmer,RP,FA,52,8.5,3.7,1.3,0.29,72.00%,4.41,4.5,0
Luis Contreras,RP,HOU,44,8.5,3.7,1.3,0.292,72.00%,4.41,4.5,0
Michael Petersen,RP,TOR,42,8.5,3.6,1.3,0.287,72.30%,4.39,4.5,-0.1
Trey McLoughlin,RP,NYM,19,8.1,3.7,1.2,0.285,73.10%,4.25,4.5,0
Cade Horton,SP,CHC,18,8,3.2,1.3,0.292,71.50%,4.44,4.5,0.1
J.P. France,SP,HOU,18,7.8,3.1,1.3,0.295,71.40%,4.49,4.5,0.1
J.P. France,RP,HOU,24,7.8,3.1,1.3,0.295,71.40%,4.49,4.5,0
Travis Kuhn,RP,SEA,14,7.6,3.7,1.1,0.289,72.50%,4.19,4.5,0
Drue Hackenberg,SP,ATL,9,7.5,4,1,0.306,71.00%,4.46,4.5,0.1
Luinder Avila,RP,KCR,10,7,3.8,1,0.306,70.60%,4.5,4.5,0
Matt Moore,RP,FA,48,8.6,4,1.3,0.288,73.80%,4.25,4.51,0
Zach Brzykcy,RP,WSH,45,8.6,4.2,1.2,0.29,72.70%,4.33,4.51,0
Matt Festa,RP,TEX,65,8.4,3.5,1.3,0.286,72.30%,4.36,4.51,0.1
Will Klein,RP,ATH,48,8.4,4.9,1,0.29,73.10%,4.21,4.51,-0.1
Justin Wrobleski,SP,LAD,18,8,3.2,1.3,0.292,73.00%,4.31,4.51,0.2
Justin Wrobleski,RP,LAD,42,8,3.2,1.3,0.292,73.00%,4.31,4.51,0
Chad Patrick,SP,MIL,9,7.9,2.6,1.4,0.284,72.20%,4.34,4.51,0.1
Chad Patrick,RP,MIL,23,7.9,2.6,1.4,0.284,72.20%,4.34,4.51,0
Alek Jacob,RP,SDP,48,7.9,3.5,1.2,0.291,72.30%,4.31,4.51,0
Mitchell Parker,SP,WSH,164,7.8,3.3,1.3,0.289,72.70%,4.34,4.51,1.4
Griffin Canning,SP,ATL,125,7.8,3,1.4,0.3,71.80%,4.5,4.51,0.8
Griffin Canning,RP,ATL,12,7.8,3,1.4,0.3,71.80%,4.5,4.51,0
Jesse Scholtens,RP,CHW,15,7.4,2.7,1.4,0.292,72.10%,4.38,4.51,0
Chase Shugart,RP,BOS,26,7.3,3.4,1.2,0.302,70.60%,4.56,4.51,0
Patrick Monteverde,RP,MIA,22,7.1,2.8,1.3,0.291,72.10%,4.33,4.51,0
Brad Lord,SP,WSH,28,7,3.2,1.2,0.294,71.10%,4.35,4.51,0.3
Brad Lord,RP,WSH,17,7,3.2,1.2,0.294,71.10%,4.35,4.51,0
Austin Krob,SP,SDP,28,6.7,3.4,1.1,0.299,72.10%,4.24,4.51,0.2
Austin Krob,RP,SDP,10,6.7,3.4,1.1,0.299,72.10%,4.24,4.51,0
Luis Guerrero,RP,BOS,55,8.9,4.4,1.2,0.297,71.60%,4.51,4.52,0
Garrett Acton,RP,TBR,15,8.5,3.5,1.3,0.288,72.40%,4.43,4.52,0
Tom Cosgrove,RP,SDP,44,8.2,3.8,1.2,0.288,73.10%,4.21,4.52,0
Alex Pham,SP,BAL,9,8,3.4,1.3,0.289,72.50%,4.36,4.52,0.1
Alex Pham,RP,BAL,28,8,3.4,1.3,0.289,72.50%,4.36,4.52,0
Eduardo Salazar,RP,WSH,58,6.6,3.4,1,0.299,71.40%,4.28,4.52,0
Prelander Berroa,RP,CHW,67,9.4,4.8,1.2,0.287,74.30%,4.22,4.53,0
Seth Halvorsen,RP,COL,65,8.2,3.9,1.2,0.312,70.50%,4.74,4.53,0.3
Bubba Chandler,SP,PIT,83,7.8,3.8,1.2,0.298,70.90%,4.53,4.53,0.7
Logan Allen,SP,CLE,96,7.7,3.4,1.3,0.297,72.40%,4.4,4.53,0.7
Chris Stratton,RP,KCR,57,7.5,3.8,1.1,0.302,71.10%,4.57,4.53,0
Sean Reynolds,RP,SDP,62,8.6,4.4,1.2,0.292,72.80%,4.32,4.54,-0.2
Peyton Alford,RP,SEA,12,8.5,4.2,1.2,0.283,74.20%,4.13,4.54,0
José Buttó,SP,NYM,91,8.2,3.7,1.3,0.287,72.20%,4.36,4.54,0.6
José Buttó,RP,NYM,32,8.2,3.7,1.3,0.287,72.20%,4.36,4.54,0
Angel Chivilli,RP,COL,61,8.1,3.6,1.3,0.31,70.70%,4.71,4.54,0
Tobias Myers,SP,MIL,144,8,2.8,1.4,0.29,72.10%,4.46,4.54,1.3
Lake Bachar,RP,MIA,53,8,3.5,1.3,0.291,71.90%,4.46,4.54,0
Ryan Feltner,SP,COL,177,7.8,3.1,1.3,0.313,69.20%,4.89,4.54,1.8
Trey McGough,RP,CHW,28,7.8,3.6,1.2,0.291,73.50%,4.24,4.54,0
Ryan Yarbrough,RP,FA,45,6.7,2.4,1.3,0.292,71.40%,4.33,4.54,0
Roddery Muñoz,RP,STL,26,8.2,3.6,1.3,0.294,72.30%,4.42,4.55,0
Sam Bachman,RP,LAA,57,7.5,3.8,1.1,0.301,71.70%,4.43,4.55,0
Bryce Jarvis,RP,ARI,54,7.4,3.8,1.1,0.305,70.60%,4.62,4.55,-0.1
Jonathan Pintaro,SP,NYM,55,7.2,3.3,1.2,0.293,71.20%,4.4,4.55,0.4
Gordon Graceffo,SP,STL,18,6.6,2.7,1.3,0.295,71.10%,4.44,4.55,0.1
Gordon Graceffo,RP,STL,40,6.6,2.7,1.3,0.295,71.10%,4.44,4.55,-0.1
Jeff Criswell,RP,COL,53,8.4,3.3,1.4,0.302,71.00%,4.7,4.56,0
Patrick Corbin,SP,FA,135,6.8,2.7,1.3,0.301,71.10%,4.53,4.56,1
Jordan Leasure,RP,CHW,50,8.8,4.2,1.3,0.289,73.50%,4.34,4.57,0
Jose Cuas,RP,PHI,48,8.2,4.1,1.1,0.294,72.10%,4.35,4.57,0
Diego Castillo,RP,FA,32,7.8,4.2,1.1,0.298,71.80%,4.42,4.57,0
Max Kranick,RP,NYM,24,7.6,3.1,1.3,0.282,73.20%,4.24,4.57,0
Javier Assad,SP,CHC,149,7.5,3.5,1.2,0.298,71.40%,4.51,4.57,1
Javier Assad,RP,CHC,15,7.5,3.5,1.2,0.298,71.40%,4.51,4.57,0
Seth Martinez,RP,ARI,58,7.4,3.5,1.2,0.3,70.50%,4.61,4.57,-0.1
Jack Leiter,SP,TEX,106,8.9,3.9,1.3,0.287,72.20%,4.46,4.58,0.8
Jack Leiter,RP,TEX,17,8.9,3.9,1.3,0.287,72.20%,4.46,4.58,0
Andrew Painter,SP,PHI,102,8,3,1.4,0.287,71.70%,4.46,4.58,0.9
Martín Pérez,SP,FA,144,6.8,3.2,1.2,0.301,71.30%,4.51,4.58,1
Lucas Sims,RP,FA,55,9.5,4.5,1.3,0.285,73.00%,4.42,4.59,0
Luis Peralta,RP,COL,64,8.7,4.6,1.1,0.312,71.80%,4.64,4.59,-0.1
Lucas Gilbreath,RP,COL,48,8.4,4.4,1.2,0.309,71.70%,4.61,4.59,0
Jack Dashwood,RP,LAA,36,8.3,3.5,1.4,0.29,73.10%,4.39,4.59,0
Skylar Hales,RP,TEX,24,8.1,3.6,1.3,0.292,72.10%,4.47,4.59,0
Alan Rangel,RP,PHI,40,8,2.8,1.5,0.28,72.80%,4.35,4.59,0
Ian Mejia,RP,ATL,22,7.5,3.2,1.3,0.296,71.30%,4.54,4.59,0
Trystan Vrieling,RP,NYY,15,7.4,2.8,1.4,0.286,72.40%,4.36,4.59,0
Alexis Díaz,RP,CIN,65,9.8,4.4,1.4,0.293,72.30%,4.55,4.6,0.2
