Name,Pos,Team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Lyon Richardson,SP,CIN,9,8.6,4.1,1.3,0.303,72.00%,4.55,4.6,0.1
Lyon Richardson,RP,CIN,22,8.6,4.1,1.3,0.303,72.00%,4.55,4.6,0
Jairo Iriarte,RP,CHW,40,8.2,4,1.2,0.292,72.20%,4.38,4.6,0
JP Sears,SP,ATH,180,7.3,2.6,1.4,0.284,71.30%,4.39,4.6,1.4
Joe La Sorsa,RP,WSH,48,6.3,2.7,1.2,0.293,71.60%,4.34,4.6,0
Andry Lara,RP,WSH,22,7,3.2,1.3,0.289,71.70%,4.39,4.61,0
Micah Dallas,RP,ATH,21,6.8,3.3,1.2,0.29,71.50%,4.4,4.61,0
Connor Phillips,SP,CIN,9,9.3,4.2,1.4,0.298,72.30%,4.58,4.62,0.1
Connor Phillips,RP,CIN,28,9.3,4.2,1.4,0.298,72.30%,4.58,4.62,0
Davis Martin,SP,CHW,137,7.7,3.3,1.3,0.294,71.70%,4.49,4.62,1.3
Matt Barnes,RP,FA,35,7.6,3.7,1.2,0.297,70.80%,4.62,4.62,0
Noah Murdock,RP,KCR,21,7.2,4.8,0.9,0.309,71.00%,4.54,4.62,0
Evan Fitterer,RP,MIA,21,6.8,4.2,1,0.305,71.00%,4.48,4.62,0
Eric Adler,RP,CHW,24,8.5,4.9,1.1,0.296,73.00%,4.38,4.63,0
Ian Gibaut,RP,CIN,56,8.4,3.6,1.4,0.301,71.70%,4.63,4.63,0
Nick Martinez,SP,CIN,157,7.5,2.6,1.5,0.301,70.60%,4.72,4.63,1.9
Nick Martinez,RP,CIN,10,7.5,2.6,1.5,0.301,70.60%,4.72,4.63,0
Joey Mancini,RP,HOU,12,7.5,3.6,1.2,0.296,71.20%,4.52,4.63,0
Wyatt Mills,RP,BOS,21,7.3,3.8,1.1,0.304,70.40%,4.64,4.63,0
Bailey Falter,SP,PIT,121,6.9,2.7,1.4,0.295,70.70%,4.62,4.63,1
Bailey Falter,RP,PIT,28,6.9,2.7,1.4,0.295,70.70%,4.62,4.63,0
Mick Abel,RP,PHI,22,8.3,4.2,1.2,0.289,72.60%,4.39,4.64,0
Alex Wood,SP,FA,111,7.2,3.2,1.2,0.299,70.90%,4.55,4.64,0.7
Ron Marinaccio,RP,CHW,54,8.6,4.3,1.2,0.291,72.00%,4.47,4.65,0
Luis Curvelo,RP,TEX,44,8.1,3.5,1.3,0.289,72.00%,4.5,4.65,0
Simeon Woods Richardson,SP,MIN,138,7.6,3.4,1.3,0.296,70.70%,4.7,4.65,1
Colin Rea,SP,FA,144,7.1,2.6,1.4,0.297,69.90%,4.72,4.65,1
Daniel Bard,RP,FA,40,8.5,4.8,1.1,0.294,72.20%,4.48,4.67,-0.2
Dany Jiménez,RP,ATH,60,8.4,4.5,1.2,0.283,72.60%,4.41,4.67,-0.1
Carson Spiers,SP,CIN,9,8.1,2.8,1.5,0.297,71.50%,4.66,4.67,0.1
Carson Spiers,RP,CIN,42,8.1,2.8,1.5,0.297,71.50%,4.66,4.67,0
Clay Helvey,RP,WSH,24,7.8,4.3,1.2,0.295,71.80%,4.5,4.67,0
Jimmy Herget,RP,COL,41,7.5,2.7,1.5,0.306,69.70%,4.89,4.67,0
Logan Gillaspie,RP,SDP,28,7.4,3.2,1.3,0.292,71.70%,4.51,4.67,0
Anthony Simonelli,RP,KCR,12,7.3,3.6,1.2,0.299,70.50%,4.7,4.67,0
Mason Adams,SP,CHW,9,6.1,2.8,1.2,0.3,70.40%,4.54,4.67,0.1
Cole Winn,RP,TEX,33,8.1,4,1.3,0.292,72.10%,4.53,4.68,0
Nicholas Padilla,RP,PHI,21,7.9,4.7,1.1,0.295,72.30%,4.4,4.68,0
Amos Willingham,RP,WSH,35,7.4,3.5,1.3,0.292,71.50%,4.54,4.68,0
Matt Waldron,SP,SDP,118,7.2,2.7,1.4,0.29,70.40%,4.6,4.68,0.9
Brent Suter,RP,CIN,58,7.2,2.9,1.4,0.304,72.00%,4.6,4.68,0
Trevor Williams,SP,FA,139,7.1,2.8,1.4,0.297,70.80%,4.69,4.68,0.9
Jared Kollar,RP,SDP,12,6.8,2.5,1.4,0.289,71.50%,4.51,4.68,0
Zach Maxwell,RP,CIN,37,9.7,5,1.3,0.297,73.00%,4.58,4.69,0
Jacob Misiorowski,SP,MIL,65,9,4.6,1.2,0.29,72.00%,4.5,4.69,0.4
Jacob Misiorowski,RP,MIL,28,9,4.6,1.2,0.29,72.00%,4.5,4.69,0
Deivi García,RP,MIL,25,8.7,4.3,1.3,0.289,72.30%,4.52,4.69,0
Hagen Smith,SP,CHW,19,8.1,3.4,1.4,0.289,69.60%,4.88,4.69,0.2
Luarbert Arias,RP,MIA,41,8,3.5,1.4,0.288,71.40%,4.6,4.69,-0.1
Jarret Whorff,RP,MIN,22,7.5,4,1.2,0.298,71.00%,4.65,4.69,0
Zach Logue,RP,LAD,38,7.3,2.7,1.5,0.291,72.20%,4.47,4.69,0
Po-Yu Chen,RP,PIT,8,6.4,3,1.2,0.299,70.10%,4.64,4.69,0
Ryan Zeferjahn,RP,LAA,65,8.8,4.3,1.3,0.29,72.30%,4.52,4.7,-0.1
Bradgley Rodriguez,RP,SDP,26,8.4,4.5,1.2,0.291,72.60%,4.46,4.7,0
Tristan Garnett,RP,PHI,17,7.9,4.4,1.2,0.291,73.30%,4.34,4.7,0
Matt Cronin,RP,WSH,28,7.7,4,1.3,0.288,72.90%,4.4,4.7,0
Will Smith,RP,FA,41,8,3.5,1.4,0.289,72.20%,4.57,4.71,-0.2
Jay Groome,RP,SDP,8,7.9,4.1,1.3,0.289,73.20%,4.38,4.71,0
T.J. Sikkema,RP,CIN,24,7.3,3.2,1.3,0.301,71.70%,4.54,4.71,0
Rhett Lowder,SP,CIN,146,7.1,3,1.4,0.304,70.30%,4.75,4.71,1.5
Jackson Jobe,SP,DET,129,7.1,3.4,1.3,0.287,70.90%,4.58,4.71,0.4
Jackson Jobe,RP,DET,17,7.1,3.4,1.3,0.287,70.90%,4.58,4.71,0
Jack O'Loughlin,RP,COL,26,7.1,3.2,1.3,0.31,70.50%,4.81,4.71,0
Jared Shuster,RP,CHW,68,7,3.3,1.3,0.289,72.50%,4.44,4.71,0
Penn Murfee,RP,CHW,44,8,3.5,1.4,0.291,72.10%,4.58,4.72,0
Wesley Moore,RP,PHI,15,8,4.3,1.2,0.291,72.90%,4.39,4.72,0
Bailey Horn,RP,BOS,28,7.9,4.4,1.2,0.299,71.90%,4.61,4.72,0
Ryan Gusto,SP,HOU,37,7.2,3.1,1.4,0.293,70.70%,4.65,4.72,0.2
Ryan Gusto,RP,HOU,28,7.2,3.1,1.4,0.293,70.70%,4.65,4.72,0
Gunnar Hoglund,SP,ATH,55,6.5,2.8,1.3,0.287,70.60%,4.53,4.72,0.2
Gunnar Hoglund,RP,ATH,17,6.5,2.8,1.3,0.287,70.60%,4.53,4.72,0
Carson Palmquist,SP,COL,9,8.8,3.8,1.5,0.297,71.80%,4.72,4.73,0.1
Carson Palmquist,RP,COL,21,8.8,3.8,1.5,0.297,71.80%,4.72,4.73,0
Sam Aldegheri,SP,LAA,18,8.3,4,1.3,0.292,72.50%,4.54,4.73,0.2
Sam Aldegheri,RP,LAA,14,8.3,4,1.3,0.292,72.50%,4.54,4.73,0
George Klassen,SP,LAA,9,8.2,4.1,1.3,0.298,71.50%,4.68,4.73,0.1
Anthony Molina,RP,COL,28,6.6,2.8,1.4,0.313,69.30%,4.98,4.73,0
Jack Kochanowicz,SP,LAA,153,5.2,2.5,1.2,0.308,69.30%,4.66,4.73,1.2
Jack Kochanowicz,RP,LAA,10,5.2,2.5,1.2,0.308,69.30%,4.66,4.73,0
Carlos Rodriguez,SP,MIL,18,8.1,3.4,1.4,0.283,72.20%,4.51,4.74,0.1
Carlos Rodriguez,RP,MIL,12,8.1,3.4,1.4,0.283,72.20%,4.51,4.74,0
Tony Gonsolin,SP,LAD,135,7.9,3.1,1.5,0.293,71.00%,4.73,4.74,0.9
Tony Gonsolin,RP,LAD,10,7.9,3.1,1.5,0.293,71.00%,4.73,4.74,0
Ryan Cusick,RP,ATH,12,7.6,4.6,1.1,0.289,72.10%,4.45,4.74,0
Owen White,SP,TEX,9,6.9,3.3,1.3,0.295,71.00%,4.59,4.74,0
Owen White,RP,TEX,37,6.9,3.3,1.3,0.295,71.00%,4.59,4.74,-0.1
Doug Nikhazy,SP,CLE,28,8.1,4.3,1.3,0.29,72.50%,4.52,4.75,0.1
Doug Nikhazy,RP,CLE,22,8.1,4.3,1.3,0.29,72.50%,4.52,4.75,0
Thaddeus Ward,RP,BAL,30,7.4,4.5,1.1,0.297,72.10%,4.45,4.75,-0.1
Michael Lorenzen,SP,FA,153,7.2,3.7,1.3,0.297,70.90%,4.69,4.75,1
Ben Lively,SP,CLE,166,7.1,2.8,1.4,0.299,70.20%,4.81,4.75,0.8
Adam Cimber,RP,FA,33,6.4,3.1,1.2,0.299,69.90%,4.65,4.75,-0.2
Robby Ahlstrom,RP,TEX,26,7.8,4.1,1.3,0.291,72.60%,4.49,4.76,0
Victor Mederos,RP,LAA,38,7.2,3.8,1.2,0.299,71.20%,4.6,4.76,-0.1
Tanner Dodson,RP,ATH,28,6.5,5,0.8,0.301,71.90%,4.39,4.76,-0.1
Antonio Senzatela,SP,COL,115,5.8,2.4,1.3,0.318,68.10%,5.11,4.76,1.2
Antonio Senzatela,RP,COL,15,5.8,2.4,1.3,0.318,68.10%,5.11,4.76,0
Andrew Abbott,SP,CIN,169,8.7,3.3,1.6,0.294,72.30%,4.75,4.77,1.8
Emiliano Teodo,SP,TEX,18,8.1,4.6,1.2,0.295,71.70%,4.6,4.77,0.1
Jake Eder,SP,CHW,9,7.7,4,1.3,0.291,72.70%,4.45,4.77,0.1
Jake Eder,RP,CHW,26,7.7,4,1.3,0.291,72.70%,4.45,4.77,0
Zach Messinger,RP,NYY,17,7.6,3.3,1.4,0.286,71.90%,4.54,4.77,0
Ryan Bergert,SP,SDP,9,7.4,3.3,1.4,0.287,71.70%,4.57,4.78,0
Ryan Bergert,RP,SDP,17,7.4,3.3,1.4,0.287,71.70%,4.57,4.78,0
Joey Lucchesi,SP,FA,64,5.8,3.6,1.1,0.301,70.80%,4.61,4.78,0.3
Sean Burke,SP,CHW,129,8.3,4,1.4,0.288,72.10%,4.62,4.79,1.1
Sean Burke,RP,CHW,12,8.3,4,1.4,0.288,72.10%,4.62,4.79,0
Dane Acker,SP,TEX,9,7.8,3.7,1.4,0.287,71.80%,4.6,4.79,0.1
Dane Acker,RP,TEX,21,7.8,3.7,1.4,0.287,71.80%,4.6,4.79,0
Justin Jarvis,RP,LAD,17,7.7,3.1,1.5,0.287,72.00%,4.62,4.79,0
Hunter Strickland,RP,FA,44,7.7,3.7,1.4,0.288,71.10%,4.69,4.79,-0.1
Richard Fitts,SP,BOS,128,6.4,2.7,1.4,0.3,69.40%,4.87,4.79,0.6
Richard Fitts,RP,BOS,12,6.4,2.7,1.4,0.3,69.40%,4.87,4.79,0
Ross Stripling,SP,FA,114,6,2.3,1.5,0.298,69.90%,4.8,4.79,0.6
Michael Arias,RP,CHC,22,8.3,5.2,1.1,0.295,72.40%,4.56,4.8,0
Isaac Coffey,SP,BOS,9,7.8,3.6,1.3,0.296,69.30%,4.84,4.8,0.1
Zach Agnos,RP,COL,22,7.8,3.3,1.5,0.306,70.00%,4.99,4.8,0
Alan Busenitz,RP,CIN,17,7.3,3.2,1.4,0.298,71.30%,4.72,4.8,0
Hyun-il Choi,RP,LAD,15,7.1,2.7,1.5,0.289,71.10%,4.62,4.8,0
Valente Bellozo,SP,MIA,18,6.9,2.8,1.5,0.293,70.70%,4.75,4.8,0.1
Valente Bellozo,RP,MIA,34,6.9,2.8,1.5,0.293,70.70%,4.75,4.8,0
Tyler Zuber,RP,NYM,44,8.1,3.9,1.4,0.285,72.00%,4.64,4.81,-0.1
Trace Bright,SP,BAL,9,7.9,4.2,1.3,0.291,71.70%,4.63,4.81,0
Trace Bright,RP,BAL,15,7.9,4.2,1.3,0.291,71.70%,4.63,4.81,0
Sam Benschoter,RP,CIN,12,7.8,3.4,1.4,0.298,71.20%,4.74,4.81,0
Tyler Baum,RP,ATH,30,7.7,5,1,0.29,72.10%,4.46,4.81,-0.1
Kyle Freeland,SP,COL,144,6.7,2.4,1.5,0.313,68.80%,5.14,4.81,1.2
Mike Vasil,SP,NYM,9,6.5,3,1.3,0.29,70.60%,4.61,4.81,0
Eddy Yean,RP,PIT,26,6.4,3.8,1.1,0.302,70.20%,4.76,4.81,0
Luis Patiño,RP,SDP,33,7.8,3.7,1.4,0.286,72.50%,4.55,4.82,-0.1
Connor Gillispie,SP,CLE,18,7.6,3.2,1.5,0.285,71.20%,4.67,4.82,0.1
Aaron Davenport,RP,CLE,10,7.6,3.5,1.4,0.289,71.40%,4.7,4.82,0
Connor Gillispie,RP,CLE,37,7.6,3.2,1.5,0.285,71.20%,4.67,4.82,-0.1
Griff McGarry,RP,PHI,24,9,5.4,1.2,0.29,72.90%,4.55,4.83,0
Omar Cruz,SP,SDP,65,7.8,4.1,1.3,0.288,72.30%,4.5,4.83,0.3
Omar Cruz,RP,SDP,24,7.8,4.1,1.3,0.288,72.30%,4.5,4.83,0
Tanner Gordon,SP,COL,9,6.6,2.2,1.6,0.307,69.10%,5.05,4.83,0.1
Tanner Gordon,RP,COL,17,6.6,2.2,1.6,0.307,69.10%,5.05,4.83,0
Andrew Bash,SP,TOR,9,7.1,3.4,1.3,0.289,70.70%,4.68,4.84,0
Andrew Bash,RP,TOR,17,7.1,3.4,1.3,0.289,70.70%,4.68,4.84,0
Andrew Moore,RP,CIN,33,9.2,5.2,1.3,0.3,72.30%,4.74,4.85,0
Cody Stashak,RP,PHI,10,7.6,3.2,1.5,0.283,71.80%,4.63,4.85,0
Houston Roth,RP,BAL,17,7.5,3.9,1.3,0.29,71.70%,4.65,4.85,0
Xzavion Curry,SP,MIA,9,6.9,2.7,1.5,0.292,70.20%,4.87,4.85,0.1
Xzavion Curry,RP,MIA,48,6.9,2.7,1.5,0.292,70.20%,4.87,4.85,-0.1
Chase Solesky,RP,WSH,26,5.8,2.8,1.3,0.294,70.40%,4.69,4.85,0
Fineas Del Bonta-Smith,RP,PIT,12,7,3.7,1.3,0.298,70.30%,4.86,4.86,0
Jonathan Cannon,SP,CHW,153,6.8,3.2,1.4,0.295,71.00%,4.71,4.86,1.1
Jonathan Cannon,RP,CHW,10,6.8,3.2,1.4,0.295,71.00%,4.71,4.86,0
Will Mabrey,RP,ARI,18,7.3,4.4,1.2,0.299,71.30%,4.77,4.87,0
Tyler Anderson,SP,LAA,193,7.1,3.3,1.4,0.291,71.20%,4.75,4.87,1.3
Ronan Kopp,RP,LAD,13,9.4,5.6,1.2,0.287,74.10%,4.47,4.88,0
Frankie Scalzo Jr.,RP,CHC,12,6.9,3.9,1.3,0.296,71.00%,4.73,4.88,0
Cal Quantrill,SP,COL,80,6.8,3.1,1.4,0.312,68.30%,5.19,4.88,0.6
Cal Quantrill,RP,COL,46,6.8,3.1,1.4,0.312,68.30%,5.19,4.88,0
Ben Casparius,SP,LAD,28,8.4,3.9,1.5,0.285,72.10%,4.71,4.89,0.1
Ben Casparius,RP,LAD,46,8.4,3.9,1.5,0.285,72.10%,4.71,4.89,-0.1
Orlando Ribalta,RP,WSH,41,8.1,4.4,1.3,0.283,72.30%,4.62,4.89,0
Casey Legumina,RP,CIN,48,7.5,3.3,1.5,0.3,70.90%,4.88,4.89,-0.1
Marquis Grissom Jr.,RP,WSH,10,7.1,3.6,1.4,0.289,71.20%,4.7,4.89,0
Randy Vásquez,SP,SDP,140,6.7,3.1,1.4,0.293,70.10%,4.76,4.89,0.9
Kyle Hendricks,SP,LAA,123,6.3,2.6,1.5,0.299,70.00%,4.88,4.89,0.9
Guillo Zuñiga,RP,LAA,26,7.8,3.9,1.4,0.295,71.50%,4.79,4.9,0
Ryan Rolison,RP,COL,8,6.6,3.5,1.3,0.311,70.00%,5.02,4.9,0
Noah Syndergaard,SP,FA,72,6,2.2,1.5,0.297,67.40%,5.1,4.9,0.3
Antoine Kelly,RP,COL,10,8,4.9,1.2,0.311,71.10%,4.91,4.91,0
Chase Dollander,SP,COL,46,7.9,3.6,1.5,0.305,69.30%,5.11,4.91,0.3
Johnathan Lavallee,RP,TOR,12,7.8,4.9,1.2,0.293,71.90%,4.7,4.91,0
Adisyn Coffey,RP,CHW,32,7.4,4,1.3,0.293,71.90%,4.7,4.91,0
Nick Dombkowski,RP,PIT,19,6.6,3.5,1.3,0.292,71.20%,4.74,4.91,0
Triston McKenzie,SP,CLE,106,8.4,3.9,1.5,0.29,71.30%,4.9,4.92,0.3
Triston McKenzie,RP,CLE,12,8.4,3.9,1.5,0.29,71.30%,4.9,4.92,0
Brendan Cellucci,RP,BOS,14,8,5.3,1.1,0.301,71.80%,4.74,4.92,0
Jacob Wallace,RP,KCR,26,8,4.9,1.2,0.295,71.10%,4.84,4.92,-0.1
Jackson Rutledge,SP,WSH,64,7.2,3.8,1.3,0.291,70.60%,4.74,4.92,0.2
Jackson Rutledge,RP,WSH,21,7.2,3.8,1.3,0.291,70.60%,4.74,4.92,0
Emerson Hancock,SP,SEA,36,6.5,2.8,1.5,0.286,70.90%,4.69,4.92,0.1
Emerson Hancock,RP,SEA,15,6.5,2.8,1.5,0.286,70.90%,4.69,4.92,0
Andre Granillo,RP,STL,15,8.1,4.6,1.3,0.286,72.20%,4.7,4.93,0
Juan Mejia,RP,COL,12,7.7,4.6,1.2,0.314,69.80%,5.08,4.93,0
Drew Thorpe,SP,CHW,108,7,3.3,1.5,0.289,71.10%,4.77,4.93,0.8
Jake Bloss,SP,TOR,81,7,3.3,1.5,0.291,70.10%,4.89,4.93,0.4
Brandon Dufault,RP,LAA,18,7.7,4.6,1.2,0.299,71.40%,4.81,4.95,0
Ky Bush,SP,CHW,18,6.9,3.9,1.3,0.292,72.10%,4.63,4.95,0.1
Total,RP,CHW,553,8.2,4,1.3,0.29,72.80%,4.44,4.67,-0.1
Ky Bush,RP,CHW,22,6.9,3.9,1.3,0.292,72.10%,4.63,4.95,0
Tyler Burch,RP,BAL,24,6.6,3.5,1.3,0.294,70.80%,4.8,4.96,-0.1
Kyle Hart,SP,FA,139,6.2,3.1,1.4,0.293,70.60%,4.79,4.97,0.4
Anthony Hoopii-Tuionetoa,RP,CHW,37,7.6,3.9,1.4,0.288,71.90%,4.77,4.99,-0.1
Alaska Abney,RP,CLE,24,7.3,4.3,1.3,0.296,70.70%,4.86,4.99,-0.1
Austin Gomber,SP,COL,166,6.5,2.5,1.6,0.311,68.80%,5.29,4.99,0.9
Chris Flexen,SP,FA,103,6.6,3.2,1.5,0.294,70.50%,4.95,5,0.5
Taijuan Walker,SP,PHI,71,6.5,3.1,1.5,0.292,71.10%,4.79,5,0.5
Taijuan Walker,RP,PHI,33,6.5,3.1,1.5,0.292,71.10%,4.79,5,0
Tanner Rainey,RP,WSH,60,8.1,4.2,1.5,0.281,71.90%,4.77,5.03,-0.3
Carlos Tavera,RP,BAL,10,7.6,4.3,1.4,0.286,71.90%,4.79,5.05,0
Brent Honeywell,RP,LAD,59,6.6,3.4,1.4,0.296,70.40%,4.92,5.05,-0.3
Caden Dana,SP,LAA,117,7.5,3.4,1.6,0.29,70.60%,4.96,5.06,0.4
Michael Mercado,SP,PHI,9,7.7,3.8,1.5,0.285,71.50%,4.85,5.07,0
Michael Mercado,RP,PHI,30,7.7,3.8,1.5,0.285,71.50%,4.85,5.07,-0.1
Bradley Blalock,SP,COL,9,6.8,3.4,1.5,0.307,69.00%,5.28,5.07,0
Bradley Blalock,RP,COL,24,6.8,3.4,1.5,0.307,69.00%,5.28,5.07,0
Joey Estes,SP,ATH,149,6.6,2.5,1.6,0.279,69.90%,4.86,5.07,0.4
Bryse Wilson,SP,FA,62,6.5,3,1.5,0.297,69.50%,5.08,5.07,0.2
Wander Guante,RP,ATH,22,5.9,3.9,1.3,0.29,70.40%,4.84,5.11,-0.1
Dom Hamel,SP,NYM,18,7.2,3.9,1.5,0.286,70.90%,4.93,5.12,0
Jack Noble,RP,MIN,24,7.2,4.3,1.3,0.297,70.00%,5.09,5.12,-0.1
Evan Justice,RP,COL,34,8.4,5.5,1.3,0.309,71.00%,5.14,5.13,-0.1
Evan Kravetz,RP,CIN,21,7.7,4.1,1.5,0.294,71.90%,4.93,5.13,0
Grant Kipp,RP,CHC,17,6.6,4.4,1.2,0.298,70.50%,4.97,5.14,-0.1
Jackson Ferris,SP,LAD,18,7.2,4.3,1.4,0.293,71.50%,4.88,5.16,0
Kenyon Yovan,RP,LAA,24,7.1,3.9,1.5,0.293,70.70%,5.04,5.17,-0.1
J.C. Flowers,RP,PIT,24,6.4,5.1,1.1,0.303,70.20%,5.05,5.17,-0.1
Cole Henry,SP,WSH,18,7,3.9,1.5,0.289,70.10%,5.06,5.19,0
Steven Wilson,RP,CHW,61,8.5,4.4,1.6,0.278,72.30%,4.92,5.2,-0.3
Chase Petty,SP,CIN,65,6.6,3.6,1.5,0.301,69.80%,5.16,5.21,0.3
Seth Johnson,SP,PHI,9,7,4.1,1.5,0.29,70.70%,5.05,5.23,0
Seth Johnson,RP,PHI,12,7,4.1,1.5,0.29,70.70%,5.05,5.23,0
Devereaux Harrison,SP,TOR,9,6.5,3.4,1.6,0.284,70.50%,5.02,5.23,0
Devereaux Harrison,RP,TOR,10,6.5,3.4,1.6,0.284,70.50%,5.02,5.23,0
Luis Mey,RP,CIN,32,7.8,5.7,1.3,0.305,71.00%,5.18,5.31,-0.1
Garrett McMillan,RP,PIT,17,6.5,4.7,1.3,0.297,69.80%,5.31,5.35,-0.1
Nick Nastrini,SP,CHW,79,7.6,4.7,1.6,0.283,70.60%,5.27,5.47,0.2
Nick Nastrini,RP,CHW,21,7.6,4.7,1.6,0.283,70.60%,5.27,5.47,-0.1
Andrew Dalquist,RP,CHW,17,7.2,5,1.5,0.289,70.90%,5.31,5.56,-0.1