Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,Team,Pos
Jack Flaherty,170.0,9.6,2.9,1.2,.296,73.6%,3.84,3.84,2.6,FA,SP
Nick Pivetta,162.0,10.2,2.8,1.3,.290,73.8%,3.93,3.86,2.5,FA,SP
Max Scherzer,137.0,9.4,2.3,1.4,.285,73.2%,3.97,3.98,2.2,FA,SP
Clayton Kershaw,125.0,8.3,2.5,1.1,.296,73.6%,3.72,3.82,2.1,FA,SP
Kyle Gibson,166.0,7.6,3.1,1.2,.301,72.0%,4.26,4.30,1.7,FA,SP
Lance Lynn,153.0,8.4,2.9,1.4,.291,71.8%,4.38,4.39,1.7,FA,SP
Charlie Morton,154.0,9.0,3.6,1.1,.298,72.3%,4.13,4.19,1.6,FA,SP
Andrew Heaney,158.0,8.5,2.8,1.3,.292,72.1%,4.25,4.31,1.6,FA,SP
Justin Verlander,139.0,7.6,2.4,1.4,.286,71.2%,4.43,4.49,1.5,FA,SP
Jose Quintana,171.0,7.2,3.3,1.1,.300,71.6%,4.34,4.41,1.4,FA,SP
Spencer Turnbull,107.0,8.0,3.1,1.1,.301,71.0%,4.22,4.17,1.1,FA,SP
Patrick Corbin,135.0,6.8,2.7,1.3,.301,71.2%,4.52,4.55,1.0,FA,SP
Michael Lorenzen,144.0,7.2,3.7,1.3,.296,71.0%,4.68,4.75,1.0,FA,SP
Colin Rea,135.0,7.1,2.6,1.4,.296,70.0%,4.71,4.65,0.9,FA,SP
Martín Pérez,135.0,6.8,3.2,1.2,.301,71.3%,4.50,4.57,0.9,FA,SP
Jakob Junis,97.0,7.5,2.4,1.3,.297,70.9%,4.41,4.37,0.9,FA,SP
Anthony DeSclafani,99.0,7.0,2.3,1.4,.297,70.7%,4.49,4.47,0.8,FA,SP
Alex Wood,111.0,7.2,3.2,1.2,.299,70.9%,4.54,4.64,0.7,FA,SP
Cal Quantrill,133.0,6.8,3.3,1.3,.297,69.8%,4.78,4.79,0.7,FA,SP
Ross Stripling,114.0,6.0,2.3,1.5,.298,70.0%,4.78,4.79,0.6,FA,SP
Chris Flexen,103.0,6.6,3.2,1.5,.293,70.5%,4.94,5.00,0.5,FA,SP
Kyle Hart,139.0,6.2,3.1,1.4,.292,70.6%,4.78,4.97,0.4,FA,SP
Noah Syndergaard,72.0,6.0,2.2,1.5,.297,67.4%,5.09,4.90,0.3,FA,SP
Tyler Alexander,80.0,6.5,2.5,1.7,.291,70.3%,4.97,5.04,0.3,FA,SP
Joey Lucchesi,64.0,5.8,3.6,1.1,.301,70.8%,4.60,4.78,0.3,FA,SP
Total,3201.0,7.7,2.9,1.3,.296,71.4%,4.40,4.44,29.5,FA,SP
Tanner Scott,72.0,11.2,4.0,0.7,.296,76.9%,3.04,3.24,1.0,FA,RP
Jeff Hoffman,68.0,10.9,3.1,1.0,.289,75.6%,3.30,3.32,1.0,FA,RP
David Robertson,65.0,11.1,3.5,0.9,.293,75.7%,3.27,3.30,0.8,FA,RP
Chris Martin,54.0,9.2,1.8,0.9,.299,74.2%,3.28,3.22,0.7,FA,RP
Joe Kelly,43.0,10.7,4.0,0.7,.302,75.6%,3.22,3.34,0.5,FA,RP
Kirby Yates,61.0,11.0,4.2,1.0,.291,75.1%,3.57,3.66,0.5,FA,RP
Kenley Jansen,60.0,10.3,3.4,1.2,.281,73.8%,3.82,3.82,0.5,FA,RP
A.J. Minter,42.0,10.0,3.1,1.0,.289,75.4%,3.44,3.56,0.5,FA,RP
Caleb Ferguson,53.0,9.7,3.7,0.9,.298,74.9%,3.47,3.65,0.4,FA,RP
Craig Kimbrel,56.0,10.7,4.0,1.1,.288,74.0%,3.79,3.82,0.4,FA,RP
Andrew Kittredge,70.0,8.4,2.6,1.1,.299,72.9%,3.84,3.85,0.4,FA,RP
Luis García,58.0,8.2,2.8,0.9,.303,72.1%,3.78,3.77,0.4,FA,RP
José Leclerc,64.0,10.2,3.9,1.1,.282,74.3%,3.83,3.96,0.4,FA,RP
Jalen Beeks,52.0,8.6,3.3,1.0,.296,73.9%,3.77,3.94,0.4,FA,RP
Carlos Estévez,64.0,9.2,3.1,1.2,.288,73.5%,3.98,4.04,0.3,FA,RP
Danny Coulombe,52.0,9.2,2.9,1.1,.294,74.5%,3.64,3.74,0.3,FA,RP
Kyle Finnegan,65.0,9.0,3.3,1.0,.298,73.3%,3.83,3.84,0.3,FA,RP
Drew Smyly,55.0,8.9,2.8,1.3,.289,74.0%,3.95,4.10,0.3,FA,RP
Paul Sewald,60.0,9.6,3.1,1.3,.283,73.5%,4.08,4.16,0.3,FA,RP
John Brebbia,49.0,9.5,3.0,1.3,.289,73.7%,3.96,3.98,0.3,FA,RP
Adam Ottavino,49.0,9.0,3.6,1.0,.298,70.9%,4.16,4.04,0.2,FA,RP
Tommy Kahnle,57.0,9.2,3.9,0.9,.299,73.8%,3.78,3.89,0.2,FA,RP
Andrew Chafin,54.0,9.8,4.0,1.0,.295,74.7%,3.79,3.91,0.2,FA,RP
Scott Barlow,62.0,9.3,3.8,1.0,.297,73.3%,3.92,3.97,0.2,FA,RP
Scott Alexander,47.0,7.3,3.0,0.8,.307,73.0%,3.74,3.89,0.2,FA,RP
Ryne Stanek,55.0,10.0,3.8,1.2,.286,74.3%,3.88,4.00,0.2,FA,RP
Jorge López,56.0,8.1,3.2,1.0,.303,72.4%,4.00,4.09,0.2,FA,RP
Luke Jackson,42.0,9.3,3.9,1.0,.300,73.4%,3.85,3.91,0.2,FA,RP
Ryan Borucki,50.0,8.8,3.3,1.0,.296,73.5%,3.79,3.95,0.2,FA,RP
Trey Wingenter,36.0,9.3,3.6,1.0,.297,73.4%,3.85,3.91,0.1,FA,RP
Kendall Graveman,56.0,8.7,3.8,1.0,.299,72.7%,4.04,4.13,0.1,FA,RP
Phil Maton,65.0,8.2,3.4,1.2,.293,71.9%,4.23,4.37,0.1,FA,RP
Héctor Neris,62.0,9.4,3.7,1.2,.290,73.3%,4.05,4.13,0.1,FA,RP
JT Chargois,51.0,8.3,3.5,1.1,.297,72.4%,4.13,4.21,0.1,FA,RP
Brooks Raley,29.0,8.8,3.5,1.1,.293,73.4%,3.95,4.11,0.1,FA,RP
José Cisnero,32.0,9.1,3.9,1.1,.294,73.3%,4.00,4.13,0.1,FA,RP
James Karinchak,39.0,10.6,4.6,1.2,.284,73.8%,4.10,4.16,0.1,FA,RP
Tim Mayza,46.0,7.3,3.1,1.0,.305,72.6%,3.99,4.09,0.1,FA,RP
Lou Trivino,40.0,8.3,3.7,1.1,.297,72.5%,4.11,4.21,0.1,FA,RP
Keynan Middleton,18.0,9.2,3.8,1.1,.294,73.2%,4.02,4.10,0.1,FA,RP
Joely Rodríguez,35.0,7.6,3.5,0.9,.303,73.0%,3.93,4.12,0.0,FA,RP
Dillon Tate,41.0,6.8,3.0,1.0,.303,71.0%,4.24,4.32,0.0,FA,RP
Sean Newcomb,35.0,8.9,4.6,1.1,.293,73.6%,4.17,4.43,0.0,FA,RP
Burch Smith,30.0,7.6,2.7,1.2,.296,71.6%,4.24,4.24,0.0,FA,RP
Jake Diekman,38.0,10.2,5.0,1.0,.293,74.8%,3.89,4.18,0.0,FA,RP
Josh Staumont,37.0,8.9,4.3,1.1,.291,72.9%,4.26,4.39,0.0,FA,RP
Jesse Chavez,40.0,8.1,3.0,1.2,.297,72.5%,4.16,4.18,0.0,FA,RP
Austin Voth,52.0,8.5,3.1,1.3,.291,73.2%,4.20,4.33,0.0,FA,RP
Matt Moore,50.0,8.6,4.0,1.3,.288,73.8%,4.24,4.51,0.0,FA,RP
Shintaro Fujinami,30.0,9.5,4.4,1.1,.290,73.3%,4.13,4.29,0.0,FA,RP
Drew Smith,12.0,9.0,3.6,1.3,.286,73.4%,4.27,4.43,0.0,FA,RP
Dylan Floro,64.0,6.9,2.9,1.1,.303,71.2%,4.27,4.24,0.0,FA,RP
Trevor Gott,24.0,8.1,3.0,1.2,.294,71.8%,4.27,4.31,0.0,FA,RP
Shelby Miller,50.0,8.7,3.3,1.2,.292,72.0%,4.28,4.30,0.0,FA,RP
Buck Farmer,52.0,8.5,3.7,1.3,.289,72.0%,4.39,4.49,0.0,FA,RP
Jay Jackson,28.0,8.5,3.0,1.3,.289,72.6%,4.22,4.28,0.0,FA,RP
Scott McGough,35.0,8.5,3.8,1.2,.295,73.1%,4.18,4.33,0.0,FA,RP
Diego Castillo,32.0,7.8,4.2,1.1,.298,71.9%,4.41,4.57,0.0,FA,RP
Trevor Richards,50.0,9.4,4.1,1.3,.288,73.6%,4.28,4.40,0.0,FA,RP
Jacob Barnes,48.0,7.7,3.1,1.2,.296,71.9%,4.35,4.40,0.0,FA,RP
Matt Barnes,33.0,7.6,3.7,1.2,.296,70.9%,4.61,4.62,0.0,FA,RP
Lucas Sims,55.0,9.5,4.5,1.3,.284,73.0%,4.41,4.59,0.0,FA,RP
Ryan Yarbrough,45.0,6.7,2.4,1.3,.291,71.4%,4.32,4.54,0.0,FA,RP
Colin Poche,55.0,8.3,3.5,1.3,.287,72.9%,4.33,4.49,-0.1,FA,RP
Tim Hill,67.0,5.3,3.0,0.8,.310,71.4%,4.13,4.34,-0.1,FA,RP
Tyler Matzek,36.0,8.8,4.2,1.2,.291,73.5%,4.24,4.44,-0.1,FA,RP
Will Smith,40.0,8.0,3.5,1.4,.289,72.2%,4.56,4.71,-0.1,FA,RP
Hunter Strickland,44.0,7.6,3.7,1.4,.288,71.1%,4.68,4.79,-0.1,FA,RP
Daniel Bard,40.0,8.5,4.8,1.1,.293,72.3%,4.47,4.67,-0.2,FA,RP
Adam Cimber,33.0,6.4,3.1,1.2,.299,70.0%,4.63,4.75,-0.2,FA,RP
Yusei Kikuchi,176.0,10.0,2.8,1.2,.295,74.7%,3.74,3.78,3.1,LAA,SP
Tyler Anderson,171.0,7.1,3.3,1.4,.289,71.3%,4.72,4.87,1.1,LAA,SP
José Soriano,148.0,8.8,3.8,0.9,.307,72.9%,3.89,3.99,2.1,LAA,SP
Kyle Hendricks,132.0,6.3,2.6,1.5,.298,70.1%,4.85,4.89,0.9,LAA,SP
Reid Detmers,97.0,10.0,3.1,1.2,.290,74.0%,3.85,3.90,1.6,LAA,SP
Jack Kochanowicz,84.0,5.3,2.4,1.1,.306,69.7%,4.55,4.65,0.7,LAA,SP
Caden Dana,72.0,7.5,3.4,1.6,.289,70.8%,4.93,5.06,0.3,LAA,SP
Sam Aldegheri,18.0,7.7,4.1,1.4,.291,71.7%,4.82,5.03,0.1,LAA,SP
Chase Silseth,9.0,8.9,3.3,1.1,.297,73.3%,3.97,4.06,0.1,LAA,SP
José Suarez,9.0,8.8,3.1,1.2,.291,74.4%,3.93,4.17,0.1,LAA,SP
Total,916.0,8.0,3.1,1.3,.296,72.1%,4.31,4.40,10.2,LAA,SP
Ben Joyce,64.0,11.3,4.2,0.9,.295,75.8%,3.34,3.49,1.0,LAA,RP
Brock Burke,67.0,9.0,3.3,1.2,.292,74.2%,3.95,4.13,0.5,LAA,RP
Ryan Zeferjahn,65.0,8.8,4.2,1.3,.289,72.4%,4.49,4.70,-0.1,LAA,RP
José Quijada,63.0,10.5,4.6,1.2,.288,75.1%,3.96,4.19,0.2,LAA,RP
Hans Crouse,68.0,10.2,4.4,1.3,.288,74.0%,4.21,4.33,0.2,LAA,RP
José Suarez,57.0,8.8,3.1,1.2,.291,74.4%,3.93,4.17,0.1,LAA,RP
Chase Silseth,55.0,8.9,3.3,1.1,.297,73.3%,3.97,4.06,0.1,LAA,RP
Garrett McDaniels,50.0,7.6,3.9,1.0,.303,73.2%,4.12,4.36,0.0,LAA,RP
Sam Bachman,47.0,7.5,3.8,1.1,.300,71.9%,4.40,4.55,0.0,LAA,RP
Robert Stephenson,44.0,10.3,3.1,1.3,.288,74.6%,3.89,3.91,0.1,LAA,RP
Jack Dashwood,42.0,8.3,3.5,1.4,.289,73.3%,4.35,4.58,0.0,LAA,RP
Kelvin Caceres,38.0,9.3,4.6,1.1,.297,73.3%,4.16,4.34,0.0,LAA,RP
Victor Mederos,36.0,7.2,3.8,1.2,.298,71.3%,4.57,4.75,0.0,LAA,RP
Michael Darrell-Hicks,32.0,7.6,3.0,1.3,.298,71.4%,4.38,4.47,0.0,LAA,RP
Dakota Hudson,26.0,6.5,3.2,1.1,.307,71.0%,4.45,4.52,0.0,LAA,RP
Kenyon Yovan,24.0,7.1,3.9,1.5,.292,70.8%,5.01,5.17,-0.1,LAA,RP
Reid Detmers,22.0,10.0,3.1,1.2,.290,74.0%,3.85,3.90,0.0,LAA,RP
Jack Kochanowicz,21.0,5.3,2.4,1.1,.306,69.7%,4.55,4.65,0.0,LAA,RP
Camden Minacci,18.0,8.4,3.9,1.2,.297,72.5%,4.34,4.46,0.0,LAA,RP
Hayden Seig,14.0,6.7,3.3,1.1,.304,71.3%,4.44,4.55,0.0,LAA,RP
Brett Kerry,10.0,7.5,2.2,1.5,.288,72.1%,4.40,4.52,0.0,LAA,RP
Total,542.0,8.8,3.7,1.2,.294,73.3%,4.15,4.30,1.9,LAA,RP
Zach Eflin,186.0,7.6,1.6,1.3,.296,72.7%,3.88,3.93,2.8,BAL,SP
Grayson Rodriguez,172.0,9.6,2.9,1.1,.293,74.5%,3.66,3.75,2.7,BAL,SP
Dean Kremer,165.0,7.9,3.0,1.4,.292,72.2%,4.42,4.53,1.3,BAL,SP
Cade Povich,116.0,8.2,3.3,1.3,.288,73.3%,4.18,4.42,1.1,BAL,SP
Trevor Rogers,104.0,7.5,3.3,1.2,.296,72.2%,4.29,4.45,0.8,BAL,SP
Albert Suárez,80.0,8.1,2.6,1.4,.290,72.4%,4.28,4.35,0.8,BAL,SP
Chayce McDermott,55.0,9.5,4.1,1.2,.286,73.8%,4.11,4.31,0.5,BAL,SP
Brandon Young,18.0,8.3,2.6,1.3,.290,72.9%,4.09,4.19,0.2,BAL,SP
Alex Pham,18.0,7.8,3.5,1.4,.289,72.2%,4.52,4.68,0.1,BAL,SP
Trace Bright,9.0,7.8,4.2,1.3,.292,71.5%,4.73,4.92,0.0,BAL,SP
Total,923.0,8.3,2.8,1.3,.292,73.0%,4.09,4.21,10.1,BAL,SP
Félix Bautista,63.0,13.1,3.4,0.8,.285,78.5%,2.74,2.72,1.7,BAL,RP
Seranthony Domínguez,62.0,10.0,3.2,1.1,.290,74.3%,3.69,3.76,0.7,BAL,RP
Yennier Cano,66.0,8.9,3.2,0.8,.304,74.4%,3.37,3.49,0.6,BAL,RP
Keegan Akin,72.0,10.0,2.6,1.1,.287,76.8%,3.35,3.56,0.7,BAL,RP
Gregory Soto,61.0,10.2,3.8,0.9,.297,75.6%,3.36,3.57,0.4,BAL,RP
Cionel Pérez,59.0,8.3,4.0,0.9,.300,74.1%,3.74,4.03,0.1,BAL,RP
Bryan Baker,56.0,9.3,3.7,1.2,.288,74.1%,3.97,4.13,0.0,BAL,RP
Colin Selby,54.0,9.4,4.0,0.9,.298,74.5%,3.69,3.88,0.1,BAL,RP
Albert Suárez,48.0,8.1,2.6,1.4,.290,72.4%,4.28,4.35,0.0,BAL,RP
Kade Strowd,42.0,8.2,4.0,1.0,.300,72.9%,4.15,4.32,0.0,BAL,RP
Chayce McDermott,36.0,9.5,4.1,1.2,.286,73.8%,4.11,4.31,0.0,BAL,RP
Thaddeus Ward,32.0,7.5,4.5,1.1,.297,72.1%,4.50,4.81,-0.1,BAL,RP
Alex Pham,30.0,7.8,3.5,1.4,.289,72.2%,4.52,4.68,0.0,BAL,RP
Brandon Young,28.0,8.3,2.6,1.3,.290,72.9%,4.09,4.19,0.0,BAL,RP
Trevor Rogers,26.0,7.5,3.3,1.2,.296,72.2%,4.29,4.45,0.0,BAL,RP
Matt Bowman,24.0,7.6,3.5,1.2,.299,72.1%,4.31,4.43,0.0,BAL,RP
Cade Povich,22.0,8.2,3.3,1.3,.288,73.3%,4.18,4.42,0.0,BAL,RP
Kyle Brnovich,21.0,7.8,3.2,1.2,.294,72.2%,4.28,4.43,0.0,BAL,RP
Houston Roth,17.0,7.5,3.9,1.4,.290,71.7%,4.72,4.92,0.0,BAL,RP
Keagan Gillies,15.0,7.8,3.9,1.4,.289,72.0%,4.67,4.87,0.0,BAL,RP
Trace Bright,12.0,7.8,4.2,1.3,.292,71.5%,4.73,4.92,0.0,BAL,RP
Cameron Weston,10.0,8.3,2.9,1.1,.296,73.0%,3.91,4.03,0.0,BAL,RP
Total,535.0,9.1,3.5,1.1,.293,74.0%,3.83,3.99,4.0,BAL,RP
Garrett Crochet,170.0,11.7,2.7,0.9,.299,75.6%,3.04,2.87,4.8,BOS,SP
Brayan Bello,167.0,8.2,3.2,1.0,.312,71.3%,4.07,3.90,2.5,BOS,SP
Tanner Houck,169.0,8.0,2.7,0.9,.313,70.9%,3.97,3.79,2.7,BOS,SP
Walker Buehler,140.0,7.6,3.0,1.2,.307,70.0%,4.57,4.35,1.4,BOS,SP
Kutter Crawford,125.0,8.7,2.6,1.4,.293,71.5%,4.38,4.27,1.7,BOS,SP
Lucas Giolito,100.0,9.0,3.1,1.3,.298,71.7%,4.36,4.23,1.2,BOS,SP
Richard Fitts,18.0,7.1,2.4,1.3,.299,70.6%,4.45,4.40,0.2,BOS,SP
Cooper Criswell,9.0,7.1,2.5,1.1,.310,70.1%,4.31,4.16,0.1,BOS,SP
Patrick Sandoval,9.0,9.0,3.4,0.9,.304,73.7%,3.70,3.74,0.1,BOS,SP
Total,908.0,8.9,2.9,1.1,.305,71.8%,4.02,3.85,14.9,BOS,SP
Liam Hendriks,63.0,10.1,2.6,1.1,.296,73.5%,3.70,3.52,1.0,BOS,RP
Aroldis Chapman,65.0,12.8,4.9,0.8,.296,77.6%,3.13,3.26,1.1,BOS,RP
Justin Slaten,66.0,9.3,3.4,1.0,.302,73.0%,3.87,3.79,0.6,BOS,RP
Greg Weissert,62.0,8.6,3.4,1.1,.304,72.0%,4.16,4.08,0.2,BOS,RP
Brennan Bernardino,61.0,9.0,3.5,0.9,.306,73.6%,3.79,3.87,0.3,BOS,RP
Michael Fulmer,60.0,8.8,3.5,1.1,.300,72.1%,4.20,4.16,0.1,BOS,RP
Justin Wilson,57.0,9.3,3.1,1.1,.297,73.7%,3.83,3.84,0.1,BOS,RP
Josh Winckowski,52.0,7.8,2.8,1.0,.309,72.1%,3.94,3.88,0.2,BOS,RP
Garrett Whitlock,50.0,9.2,2.2,1.1,.302,73.2%,3.62,3.48,0.2,BOS,RP
Richard Fitts,44.0,7.1,2.4,1.3,.299,70.6%,4.45,4.40,0.0,BOS,RP
Luis Guerrero,40.0,8.9,4.4,1.2,.297,71.6%,4.53,4.54,0.0,BOS,RP
Quinn Priester,36.0,8.1,2.6,0.9,.311,72.1%,3.77,3.67,0.1,BOS,RP
Zack Kelly,32.0,9.4,4.1,1.0,.303,72.9%,4.05,4.05,0.0,BOS,RP
Zach Penrod,30.0,9.5,4.1,1.0,.300,73.6%,4.01,4.07,0.1,BOS,RP
Austin Adams,28.0,9.7,4.2,1.1,.297,71.1%,4.31,4.29,0.0,BOS,RP
Kutter Crawford,26.0,8.7,2.6,1.4,.293,71.5%,4.38,4.27,0.0,BOS,RP
Cooper Criswell,24.0,7.1,2.5,1.1,.310,70.1%,4.31,4.16,0.0,BOS,RP
Chase Shugart,21.0,7.3,3.4,1.2,.303,70.6%,4.58,4.53,0.0,BOS,RP
Lucas Giolito,18.0,9.0,3.1,1.3,.298,71.7%,4.36,4.23,0.0,BOS,RP
Walker Buehler,14.0,7.6,3.0,1.2,.307,70.0%,4.57,4.35,0.0,BOS,RP
Hunter Dobbins,12.0,7.4,2.9,1.1,.300,71.3%,4.21,4.23,0.0,BOS,RP
Tanner Houck,10.0,8.0,2.7,0.9,.313,70.9%,3.97,3.79,0.0,BOS,RP
Patrick Sandoval,8.0,9.0,3.4,0.9,.304,73.7%,3.70,3.74,0.0,BOS,RP
Total,550.0,9.1,3.3,1.1,.302,72.7%,3.98,3.93,4.1,BOS,RP
Jonathan Cannon,156.0,6.8,3.2,1.4,.295,70.9%,4.75,4.88,1.1,CHW,SP
Davis Martin,141.0,7.7,3.3,1.3,.294,71.6%,4.51,4.64,1.3,CHW,SP
Sean Burke,133.0,8.3,4.0,1.4,.288,72.0%,4.67,4.84,1.1,CHW,SP
Drew Thorpe,117.0,7.0,3.3,1.5,.290,71.0%,4.79,4.94,0.9,CHW,SP
Bryse Wilson,88.0,6.6,3.0,1.6,.294,70.2%,5.08,5.18,0.4,CHW,SP
Nick Nastrini,70.0,7.6,4.7,1.6,.284,70.4%,5.33,5.52,0.1,CHW,SP
Noah Schultz,74.0,8.0,3.2,1.2,.297,72.7%,4.09,4.28,0.9,CHW,SP
Hagen Smith,26.0,8.1,3.4,1.4,.289,69.6%,4.88,4.69,0.2,CHW,SP
Ky Bush,36.0,6.5,4.1,1.4,.293,71.4%,4.87,5.16,0.1,CHW,SP
Jake Eder,28.0,7.3,4.2,1.3,.292,71.8%,4.72,5.01,0.1,CHW,SP
Mason Adams,28.0,6.1,2.8,1.2,.301,70.2%,4.58,4.68,0.2,CHW,SP
Shane Smith,18.0,8.2,3.3,1.2,.294,72.5%,4.16,4.31,0.2,CHW,SP
Total,915.0,7.3,3.5,1.4,.292,71.2%,4.72,4.87,6.8,CHW,SP
Justin Anderson,65.0,9.1,4.0,1.1,.294,73.4%,4.10,4.25,0.3,CHW,RP
Prelander Berroa,67.0,9.4,4.9,1.2,.288,74.2%,4.24,4.54,0.0,CHW,RP
Fraser Ellard,65.0,8.5,4.4,1.1,.296,73.9%,4.10,4.43,0.1,CHW,RP
Gus Varland,62.0,8.1,3.5,1.2,.295,72.5%,4.28,4.44,0.0,CHW,RP
Steven Wilson,61.0,8.5,4.4,1.6,.279,72.3%,4.95,5.22,-0.3,CHW,RP
Jared Shuster,68.0,7.0,3.4,1.3,.290,72.5%,4.47,4.72,0.0,CHW,RP
Jordan Leasure,54.0,8.8,4.2,1.3,.289,73.4%,4.37,4.59,0.0,CHW,RP
Cam Booser,50.0,9.3,3.7,1.3,.289,74.8%,4.01,4.24,0.1,CHW,RP
Shane Smith,48.0,8.2,3.3,1.2,.294,72.5%,4.16,4.31,0.0,CHW,RP
Ron Marinaccio,44.0,8.6,4.3,1.2,.291,72.0%,4.49,4.67,0.0,CHW,RP
Tyler Gilbert,40.0,7.5,2.7,1.3,.293,73.3%,4.15,4.39,0.0,CHW,RP
