Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,Team,Pos
Penn Murfee,37.0,8.0,3.5,1.4,.292,72.1%,4.61,4.74,0.0,CHW,RP
Jairo Iriarte,32.0,8.2,4.0,1.2,.293,72.1%,4.40,4.62,0.0,CHW,RP
Dan Altavilla,28.0,8.6,3.9,1.2,.294,72.9%,4.30,4.44,0.0,CHW,RP
Anthony Hoopii-Tuionetoa,26.0,7.6,3.9,1.4,.289,71.8%,4.79,5.00,0.0,CHW,RP
Bryse Wilson,24.0,6.6,3.0,1.6,.294,70.2%,5.08,5.18,0.0,CHW,RP
Adisyn Coffey,22.0,7.3,4.0,1.3,.293,71.8%,4.70,4.91,0.0,CHW,RP
Trey McGough,21.0,7.8,3.6,1.2,.291,73.4%,4.26,4.56,0.0,CHW,RP
Jake Eder,17.0,7.3,4.2,1.3,.292,71.8%,4.72,5.01,0.0,CHW,RP
Nick Nastrini,15.0,7.6,4.7,1.6,.284,70.4%,5.33,5.52,0.0,CHW,RP
Ky Bush,12.0,6.5,4.1,1.4,.293,71.4%,4.87,5.16,0.0,CHW,RP
Sean Burke,10.0,8.3,4.0,1.4,.288,72.0%,4.67,4.84,0.0,CHW,RP
Jonathan Cannon,8.0,6.8,3.2,1.4,.295,70.9%,4.75,4.88,0.0,CHW,RP
Total,543.0,8.2,3.9,1.3,.291,72.8%,4.41,4.63,0.0,CHW,RP
Tanner Bibee,173.0,9.2,2.5,1.3,.289,73.6%,3.88,3.92,2.5,CLE,SP
Ben Lively,148.0,7.1,2.8,1.4,.299,70.2%,4.80,4.74,0.7,CLE,SP
Gavin Williams,143.0,9.1,3.4,1.2,.293,72.6%,4.11,4.12,1.6,CLE,SP
Luis L. Ortiz,127.0,7.6,3.3,1.3,.301,70.7%,4.62,4.57,0.7,CLE,SP
Triston McKenzie,106.0,8.5,3.9,1.5,.290,71.4%,4.85,4.87,0.4,CLE,SP
Shane Bieber,86.0,9.0,2.2,1.0,.303,73.3%,3.61,3.48,1.5,CLE,SP
Joey Cantillo,72.0,9.2,3.9,1.1,.292,73.8%,3.98,4.17,0.8,CLE,SP
Slade Cecconi,35.0,8.1,2.1,1.4,.292,72.1%,4.20,4.20,0.4,CLE,SP
Logan Allen,17.0,7.7,3.4,1.3,.297,72.4%,4.40,4.53,0.1,CLE,SP
Doug Nikhazy,9.0,8.5,4.1,1.2,.289,73.2%,4.31,4.54,0.1,CLE,SP
Total,917.0,8.4,3.1,1.3,.295,72.1%,4.29,4.29,8.8,CLE,SP
Emmanuel Clase,70.0,9.2,2.1,0.7,.308,74.3%,3.10,3.00,1.4,CLE,RP
Cade Smith,72.0,11.3,3.1,0.9,.293,75.9%,3.12,3.11,1.2,CLE,RP
Hunter Gaddis,71.0,8.5,2.6,1.3,.286,72.6%,4.15,4.25,0.1,CLE,RP
Tim Herrin,66.0,9.7,3.7,0.9,.300,74.8%,3.51,3.65,0.4,CLE,RP
Erik Sabrowski,60.0,10.2,4.5,1.1,.292,75.1%,3.84,4.03,0.1,CLE,RP
Pedro Avila,58.0,8.7,3.5,1.0,.303,73.0%,3.97,3.99,0.1,CLE,RP
Andrew Walters,54.0,9.9,4.1,1.2,.292,73.5%,4.14,4.18,0.0,CLE,RP
Nic Enright,50.0,9.1,2.9,1.3,.288,73.5%,3.98,4.04,0.0,CLE,RP
Franco Aleman,46.0,9.0,3.3,1.1,.298,72.9%,3.93,3.97,0.0,CLE,RP
Andrew Misiaszek,42.0,9.1,3.8,1.1,.293,74.1%,3.91,4.12,0.0,CLE,RP
Trevor Stephan,37.0,9.4,3.1,1.1,.295,72.5%,3.93,3.87,0.0,CLE,RP
Ryan Webb,35.0,8.2,3.2,1.1,.297,73.2%,3.96,4.12,0.0,CLE,RP
Slade Cecconi,30.0,8.1,2.1,1.4,.292,72.1%,4.20,4.20,0.0,CLE,RP
Doug Nikhazy,28.0,8.5,4.1,1.2,.289,73.2%,4.31,4.54,0.0,CLE,RP
Joey Cantillo,26.0,9.2,3.9,1.1,.292,73.8%,3.98,4.17,0.0,CLE,RP
Luis Frías,24.0,9.0,3.9,1.1,.297,72.9%,4.14,4.20,0.0,CLE,RP
Triston McKenzie,22.0,8.5,3.9,1.5,.290,71.4%,4.85,4.87,0.0,CLE,RP
Parker Mushinski,19.0,7.9,3.6,1.0,.303,72.5%,4.14,4.30,0.0,CLE,RP
Luis L. Ortiz,17.0,7.6,3.3,1.3,.301,70.7%,4.62,4.57,0.0,CLE,RP
Parker Messick,15.0,8.9,2.9,1.1,.294,73.9%,3.73,3.88,0.0,CLE,RP
Alaska Abney,12.0,7.3,4.3,1.3,.296,70.7%,4.86,4.99,0.0,CLE,RP
Shane Bieber,10.0,9.0,2.2,1.0,.303,73.3%,3.61,3.48,0.0,CLE,RP
Total,541.0,9.2,3.3,1.1,.295,73.6%,3.87,3.94,3.3,CLE,RP
Tarik Skubal,199.0,10.5,2.1,0.9,.289,76.4%,2.90,2.95,5.1,DET,SP
Reese Olson,156.0,8.3,2.9,1.0,.296,72.4%,3.84,3.86,2.2,DET,SP
Casey Mize,145.0,7.3,2.5,1.1,.296,71.2%,4.12,4.13,1.6,DET,SP
Alex Cobb,127.0,7.5,2.5,0.8,.304,72.2%,3.65,3.65,2.0,DET,SP
Jackson Jobe,120.0,7.0,3.3,1.3,.285,70.8%,4.61,4.79,0.3,DET,SP
Keider Montero,64.0,7.7,3.1,1.2,.289,71.7%,4.30,4.43,0.5,DET,SP
Matt Manning,45.0,7.4,2.8,1.2,.289,71.9%,4.17,4.29,0.4,DET,SP
Sawyer Gipson-Long,37.0,8.2,2.4,1.1,.292,72.4%,3.82,3.85,0.5,DET,SP
Kenta Maeda,17.0,8.7,2.3,1.2,.287,72.7%,3.90,3.91,0.3,DET,SP
Ty Madden,9.0,8.4,3.0,1.1,.287,72.7%,3.92,4.02,0.1,DET,SP
Brant Hurter,9.0,7.5,2.1,0.9,.297,73.0%,3.52,3.67,0.2,DET,SP
Total,927.0,8.2,2.6,1.1,.293,72.6%,3.80,3.86,13.1,DET,SP
Beau Brieske,67.0,8.8,3.3,1.1,.287,73.6%,3.88,4.02,0.2,DET,RP
Jason Foley,64.0,7.7,2.7,0.9,.301,72.5%,3.69,3.73,0.4,DET,RP
Tyler Holton,75.0,8.1,2.5,1.0,.291,73.9%,3.55,3.71,0.5,DET,RP
Will Vest,70.0,9.0,2.8,0.9,.296,74.2%,3.38,3.47,0.5,DET,RP
Sean Guenther,63.0,7.2,2.7,0.9,.297,73.2%,3.65,3.86,0.1,DET,RP
Brant Hurter,58.0,7.5,2.1,0.9,.297,73.0%,3.52,3.67,0.3,DET,RP
Kenta Maeda,52.0,8.7,2.3,1.2,.287,72.7%,3.90,3.91,0.1,DET,RP
Brenan Hanifee,50.0,7.2,2.4,0.9,.299,72.5%,3.69,3.79,0.1,DET,RP
Alex Lange,46.0,10.0,4.4,0.8,.295,74.2%,3.63,3.75,0.1,DET,RP
Alex Faedo,44.0,8.8,3.1,1.2,.287,73.2%,3.99,4.07,0.0,DET,RP
Ty Madden,41.0,8.4,3.0,1.1,.287,72.7%,3.92,4.02,0.1,DET,RP
Mason Englert,36.0,7.9,2.7,1.2,.290,72.2%,4.04,4.12,0.0,DET,RP
Sawyer Gipson-Long,32.0,8.2,2.4,1.1,.292,72.4%,3.82,3.85,0.0,DET,RP
Tyler Mattison,28.0,8.9,3.8,1.1,.287,73.4%,3.99,4.16,0.0,DET,RP
Matt Manning,26.0,7.4,2.8,1.2,.289,71.9%,4.17,4.29,0.0,DET,RP
Chase Lee,24.0,8.5,3.1,0.9,.294,73.3%,3.66,3.79,0.0,DET,RP
Ryan Miller,22.0,7.4,3.1,1.2,.289,71.7%,4.27,4.43,0.0,DET,RP
Matt Gage,21.0,8.4,3.7,0.9,.291,74.2%,3.74,4.03,0.0,DET,RP
Lael Lockhart,17.0,8.4,3.2,1.0,.288,74.0%,3.74,3.99,0.0,DET,RP
Keider Montero,15.0,7.7,3.1,1.2,.289,71.7%,4.30,4.43,0.0,DET,RP
Jackson Jobe,12.0,7.0,3.3,1.3,.285,70.8%,4.61,4.79,0.0,DET,RP
Tyler Owens,10.0,7.3,3.3,1.1,.292,71.7%,4.26,4.41,0.0,DET,RP
Total,531.0,8.2,2.9,1.0,.292,73.1%,3.78,3.90,2.5,DET,RP
Seth Lugo,200.0,7.8,2.5,1.1,.305,71.1%,4.16,4.00,2.8,KCR,SP
Cole Ragans,183.0,10.2,3.4,1.0,.296,74.7%,3.51,3.52,3.6,KCR,SP
Michael Wacha,169.0,7.8,2.7,1.2,.296,71.2%,4.29,4.22,2.3,KCR,SP
Alec Marsh,132.0,8.4,3.3,1.3,.300,70.7%,4.49,4.37,1.4,KCR,SP
Kris Bubic,117.0,8.1,3.2,1.1,.304,72.1%,4.15,4.13,1.4,KCR,SP
Kyle Wright,100.0,7.6,3.0,1.0,.310,70.6%,4.20,4.07,1.3,KCR,SP
Noah Cameron,18.0,8.0,2.6,1.1,.297,72.7%,3.91,3.96,0.3,KCR,SP
Daniel Lynch IV,9.0,7.3,2.4,1.1,.301,71.7%,4.10,4.09,0.1,KCR,SP
Jonathan Bowlan,9.0,7.2,2.7,1.1,.300,70.8%,4.31,4.28,0.1,KCR,SP
Total,937.0,8.4,3.0,1.1,.301,71.8%,4.10,4.03,13.3,KCR,SP
Lucas Erceg,67.0,10.3,3.5,0.8,.303,74.3%,3.42,3.38,1.1,KCR,RP
Hunter Harvey,66.0,9.6,2.9,0.9,.301,72.7%,3.61,3.44,1.0,KCR,RP
John Schreiber,62.0,8.3,3.6,1.0,.302,72.3%,4.03,4.05,0.4,KCR,RP
Angel Zerpa,63.0,8.1,3.0,0.9,.306,73.5%,3.67,3.76,0.4,KCR,RP
Sam Long,61.0,8.0,3.7,1.1,.299,72.3%,4.31,4.36,-0.1,KCR,RP
Chris Stratton,60.0,7.5,3.8,1.1,.302,71.2%,4.56,4.54,-0.1,KCR,RP
Daniel Lynch IV,57.0,7.3,2.4,1.1,.301,71.7%,4.10,4.09,0.0,KCR,RP
James McArthur,53.0,8.1,2.8,1.0,.306,72.1%,3.92,3.85,0.1,KCR,RP
Carlos Hernández,48.0,9.0,3.7,1.1,.295,72.5%,4.16,4.12,0.0,KCR,RP
Steven Cruz,44.0,8.4,4.2,1.0,.301,71.9%,4.31,4.32,0.0,KCR,RP
Evan Sisk,37.0,8.1,4.0,0.9,.307,72.9%,3.99,4.10,0.0,KCR,RP
Jonathan Bowlan,35.0,7.2,2.7,1.1,.300,70.8%,4.31,4.28,0.0,KCR,RP
Eric Cerantola,30.0,8.6,4.7,1.0,.299,72.0%,4.38,4.47,0.0,KCR,RP
Noah Cameron,28.0,8.0,2.6,1.1,.297,72.7%,3.91,3.96,0.0,KCR,RP
Luinder Avila,26.0,6.9,3.8,1.0,.306,70.6%,4.49,4.50,0.0,KCR,RP
Jacob Wallace,24.0,8.0,4.9,1.2,.294,71.1%,4.83,4.92,0.0,KCR,RP
Kris Bubic,22.0,8.1,3.2,1.1,.304,72.1%,4.15,4.13,0.0,KCR,RP
Kyle Wright,21.0,7.6,3.0,1.0,.310,70.6%,4.20,4.07,0.0,KCR,RP
Taylor Clarke,18.0,7.5,2.5,1.2,.299,72.0%,4.23,4.25,0.0,KCR,RP
Steven Zobac,14.0,7.3,2.5,1.2,.294,71.2%,4.27,4.28,0.0,KCR,RP
Anthony Simonelli,12.0,7.3,3.6,1.2,.298,70.5%,4.69,4.67,0.0,KCR,RP
Alec Marsh,10.0,8.4,3.3,1.3,.300,70.7%,4.49,4.37,0.0,KCR,RP
Chandler Champlain,8.0,6.6,2.7,1.1,.301,70.5%,4.39,4.37,0.0,KCR,RP
Total,521.0,8.2,3.4,1.0,.302,72.2%,4.09,4.08,2.9,KCR,RP
Pablo López,196.0,9.4,2.2,1.1,.297,73.4%,3.59,3.51,3.7,MIN,SP
Bailey Ober,181.0,9.3,2.2,1.4,.287,73.4%,4.00,3.98,2.6,MIN,SP
Joe Ryan,169.0,10.0,2.1,1.3,.285,73.8%,3.73,3.67,3.4,MIN,SP
Simeon Woods Richardson,138.0,7.6,3.4,1.3,.294,70.8%,4.66,4.64,1.0,MIN,SP
Chris Paddack,90.0,8.2,2.1,1.3,.298,72.0%,4.09,3.98,1.3,MIN,SP
David Festa,79.0,9.4,3.2,1.1,.296,72.8%,3.88,3.83,1.3,MIN,SP
Zebby Matthews,53.0,8.1,1.9,1.2,.295,72.0%,3.95,3.89,0.8,MIN,SP
Louie Varland,9.0,9.0,2.3,1.0,.300,73.8%,3.60,3.59,0.2,MIN,SP
Travis Adams,9.0,6.8,2.8,1.2,.298,70.9%,4.38,4.41,0.1,MIN,SP
Total,923.0,9.0,2.4,1.3,.293,72.7%,3.96,3.91,14.4,MIN,SP
Jhoan Duran,65.0,11.2,3.0,0.6,.304,76.2%,2.77,2.74,1.7,MIN,RP
Griffin Jax,72.0,10.6,2.6,0.9,.298,75.1%,3.19,3.10,1.3,MIN,RP
Cole Sands,67.0,9.7,2.8,1.1,.293,73.5%,3.67,3.62,0.7,MIN,RP
Jorge Alcala,62.0,9.7,3.5,1.2,.290,73.6%,3.95,3.98,0.4,MIN,RP
Michael Tonkin,65.0,8.9,3.3,1.1,.297,72.0%,4.08,4.04,0.1,MIN,RP
Brock Stewart,58.0,11.4,3.5,0.9,.293,76.0%,3.25,3.24,0.5,MIN,RP
Kody Funderburk,56.0,9.0,3.5,0.8,.301,74.2%,3.53,3.71,0.1,MIN,RP
Justin Topa,52.0,7.9,3.1,0.9,.305,72.3%,3.91,3.92,0.1,MIN,RP
Eiberson Castellano,48.0,8.7,3.1,1.0,.299,72.4%,3.90,3.92,0.1,MIN,RP
Louie Varland,46.0,9.0,2.3,1.0,.300,73.8%,3.60,3.59,0.1,MIN,RP
Chris Paddack,40.0,8.2,2.1,1.3,.298,72.0%,4.09,3.98,0.0,MIN,RP
Ronny Henriquez,35.0,7.8,3.1,1.0,.300,72.4%,4.02,4.10,0.0,MIN,RP
Brent Headrick,33.0,9.0,2.8,1.2,.289,73.8%,3.85,3.96,0.0,MIN,RP
Zebby Matthews,28.0,8.1,1.9,1.2,.295,72.0%,3.95,3.89,0.0,MIN,RP
Huascar Ynoa,26.0,9.3,3.0,1.0,.300,73.4%,3.70,3.65,0.1,MIN,RP
David Festa,24.0,9.4,3.2,1.1,.296,72.8%,3.88,3.83,0.0,MIN,RP
Scott Blewett,22.0,7.1,3.0,1.2,.296,71.2%,4.42,4.48,0.0,MIN,RP
Travis Adams,19.0,6.8,2.8,1.2,.298,70.9%,4.38,4.41,0.0,MIN,RP
Marco Raya,17.0,8.2,3.5,1.1,.295,72.2%,4.18,4.28,0.0,MIN,RP
Matt Canterino,15.0,9.4,4.0,1.2,.293,72.8%,4.27,4.28,0.0,MIN,RP
Randy Dobnak,12.0,7.5,3.0,0.9,.306,72.0%,3.93,3.94,0.0,MIN,RP
Andrew Morris,10.0,7.7,2.4,1.1,.299,72.1%,3.92,3.92,0.0,MIN,RP
Total,535.0,9.2,3.0,1.0,.297,73.4%,3.72,3.72,5.2,MIN,RP
Gerrit Cole,189.0,9.4,2.5,1.3,.285,73.7%,3.93,3.98,3.1,NYY,SP
Carlos Rodón,176.0,10.2,2.8,1.4,.282,74.0%,3.90,3.91,2.8,NYY,SP
Max Fried,173.0,8.6,2.5,0.9,.300,74.7%,3.36,3.51,3.3,NYY,SP
Luis Gil,151.0,10.0,4.2,1.3,.281,74.1%,4.18,4.40,1.8,NYY,SP
Clarke Schmidt,114.0,8.9,2.9,1.2,.290,73.6%,3.92,4.10,1.7,NYY,SP
Marcus Stroman,89.0,7.0,3.0,1.2,.300,71.4%,4.32,4.41,0.8,NYY,SP
JT Brubaker,18.0,8.7,2.7,1.3,.292,73.4%,4.06,4.18,0.2,NYY,SP
Will Warren,9.0,8.8,2.7,1.1,.295,73.7%,3.67,3.76,0.1,NYY,SP
Clayton Beeter,9.0,10.2,3.7,1.2,.284,74.9%,3.79,3.97,0.2,NYY,SP
Total,929.0,9.2,3.0,1.2,.289,73.8%,3.89,4.01,14.0,NYY,SP
Devin Williams,63.0,11.5,4.0,0.9,.287,76.7%,3.20,3.37,1.0,NYY,RP
Luke Weaver,70.0,9.7,2.5,1.3,.286,75.6%,3.67,3.82,0.6,NYY,RP
Ian Hamilton,62.0,9.7,3.5,0.9,.292,75.2%,3.46,3.67,0.6,NYY,RP
Fernando Cruz,61.0,11.9,3.7,1.0,.283,76.6%,3.30,3.36,0.7,NYY,RP
Jake Cousins,58.0,10.3,4.3,1.0,.290,74.7%,3.79,4.01,0.2,NYY,RP
Mark Leiter Jr.,56.0,10.3,3.3,1.1,.289,74.8%,3.57,3.69,0.4,NYY,RP
Clayton Beeter,54.0,10.2,3.7,1.2,.284,74.9%,3.79,3.97,0.1,NYY,RP
Scott Effross,50.0,7.5,2.9,1.2,.296,72.4%,4.18,4.32,0.0,NYY,RP
Jonathan Loáisiga,48.0,8.0,2.7,0.9,.297,73.6%,3.60,3.77,0.1,NYY,RP
JT Brubaker,42.0,8.7,2.7,1.3,.292,73.4%,4.06,4.18,0.0,NYY,RP
Yerry De Los Santos,40.0,7.5,3.3,1.1,.295,72.7%,4.14,4.35,0.0,NYY,RP
Yoendrys Gómez,38.0,8.9,3.6,1.4,.284,73.1%,4.31,4.52,0.0,NYY,RP
Colten Brewer,34.0,8.3,3.4,1.2,.291,72.8%,4.16,4.34,0.0,NYY,RP
Marcus Stroman,28.0,7.0,3.0,1.2,.300,71.4%,4.32,4.41,0.0,NYY,RP
Will Warren,26.0,8.8,2.7,1.1,.295,73.7%,3.67,3.76,0.0,NYY,RP
Clarke Schmidt,24.0,8.9,2.9,1.2,.290,73.6%,3.92,4.10,0.0,NYY,RP
Geoff Hartlieb,22.0,7.7,3.4,1.2,.293,72.7%,4.19,4.43,0.0,NYY,RP
McKinley Moore,21.0,9.2,4.7,1.1,.291,73.6%,4.15,4.44,0.0,NYY,RP
Ben Shields,17.0,8.9,3.0,1.1,.291,74.7%,3.67,3.92,0.0,NYY,RP
Zach Messinger,15.0,7.5,3.3,1.4,.286,71.9%,4.56,4.80,0.0,NYY,RP
Carson Coleman,13.0,8.8,3.3,1.3,.288,73.0%,4.18,4.34,0.0,NYY,RP
Luis Gil,10.0,10.0,4.2,1.3,.281,74.1%,4.18,4.40,0.0,NYY,RP
Total,529.0,9.4,3.4,1.1,.290,74.2%,3.80,3.97,3.8,NYY,RP
Luis Severino,183.0,7.8,3.0,1.1,.292,72.2%,4.05,4.21,2.0,ATH,SP
JP Sears,178.0,7.3,2.6,1.4,.283,71.3%,4.39,4.60,1.4,ATH,SP
Jeffrey Springs,146.0,8.6,2.5,1.1,.287,74.3%,3.64,3.82,2.1,ATH,SP
Joey Estes,134.0,6.6,2.5,1.6,.278,69.9%,4.85,5.07,0.4,ATH,SP
Mitch Spence,108.0,6.9,2.7,1.1,.296,71.3%,4.12,4.22,1.1,ATH,SP
J.T. Ginn,73.0,6.6,3.1,1.0,.297,71.4%,4.12,4.33,0.7,ATH,SP
Osvaldo Bido,44.0,8.4,3.4,1.1,.282,72.2%,4.04,4.26,0.5,ATH,SP
Gunnar Hoglund,37.0,6.7,2.8,1.3,.286,71.0%,4.40,4.61,0.2,ATH,SP
Brady Basso,9.0,8.5,2.4,1.0,.287,74.7%,3.43,3.67,0.2,ATH,SP
Mason Barnett,9.0,8.4,3.4,1.1,.284,73.1%,3.89,4.13,0.1,ATH,SP
Total,920.0,7.5,2.8,1.2,.287,71.8%,4.19,4.37,8.6,ATH,SP
Mason Miller,68.0,13.3,3.1,0.7,.281,79.2%,2.46,2.44,2.2,ATH,RP
Tyler Ferguson,65.0,9.1,4.1,0.9,.288,74.2%,3.71,4.03,0.3,ATH,RP
Michel Otañez,64.0,10.7,4.7,0.8,.288,75.4%,3.46,3.74,0.5,ATH,RP
Grant Holman,62.0,8.1,3.7,1.0,.293,73.0%,3.94,4.16,0.0,ATH,RP
T.J. McFarland,61.0,6.4,3.3,0.8,.301,72.7%,3.85,4.17,0.0,ATH,RP
Justin Sterner,60.0,8.2,3.5,1.2,.281,72.9%,4.13,4.39,0.0,ATH,RP
Hogan Harris,57.0,8.4,3.7,1.0,.286,74.1%,3.84,4.18,0.0,ATH,RP
Will Klein,53.0,8.4,4.9,1.0,.290,73.1%,4.20,4.51,-0.1,ATH,RP
Noah Murdock,48.0,7.4,4.7,0.8,.298,72.4%,4.15,4.50,-0.1,ATH,RP
Anthony Maldonado,44.0,8.0,3.6,1.2,.283,72.9%,4.17,4.44,0.0,ATH,RP
Brady Basso,40.0,8.5,2.4,1.0,.287,74.7%,3.43,3.67,0.1,ATH,RP
Osvaldo Bido,36.0,8.4,3.4,1.1,.282,72.2%,4.04,4.26,0.0,ATH,RP
Jacob Lopez,30.0,8.8,3.6,1.0,.284,74.4%,3.63,3.96,0.0,ATH,RP
Gunnar Hoglund,28.0,6.7,2.8,1.3,.286,71.0%,4.40,4.61,0.0,ATH,RP
Tyler Baum,26.0,7.6,5.0,1.0,.289,72.2%,4.45,4.81,-0.1,ATH,RP
Michael Kelly,24.0,8.3,3.6,1.1,.288,72.8%,4.08,4.24,0.0,ATH,RP
J.T. Ginn,22.0,6.6,3.1,1.0,.297,71.4%,4.12,4.33,0.0,ATH,RP
Tanner Dodson,21.0,6.5,5.0,0.8,.301,71.9%,4.38,4.76,0.0,ATH,RP
Blake Beers,17.0,7.1,2.9,1.2,.286,71.8%,4.12,4.39,0.0,ATH,RP
Mitch Spence,15.0,6.9,2.7,1.1,.296,71.3%,4.12,4.22,0.0,ATH,RP
Ryan Cusick,12.0,7.6,4.6,1.1,.289,72.1%,4.44,4.74,0.0,ATH,RP
Mason Barnett,10.0,8.4,3.4,1.1,.284,73.1%,3.89,4.13,0.0,ATH,RP
Jeffrey Springs,8.0,8.6,2.5,1.1,.287,74.3%,3.64,3.82,0.0,ATH,RP
Total,538.0,8.5,3.8,1.0,.289,73.5%,3.84,4.10,3.0,ATH,RP
Logan Gilbert,201.0,9.4,1.9,1.1,.287,74.5%,3.41,3.45,3.6,SEA,SP
Luis Castillo,184.0,9.1,2.5,1.2,.286,74.3%,3.62,3.76,2.8,SEA,SP
George Kirby,180.0,8.5,1.4,1.2,.287,73.2%,3.50,3.51,3.3,SEA,SP
Bryce Miller,175.0,8.6,2.4,1.3,.285,73.6%,3.88,4.02,1.9,SEA,SP
Bryan Woo,144.0,8.5,2.1,1.3,.285,72.9%,3.84,3.95,1.8,SEA,SP
