Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,Team,Pos
Jordan Wicks,24.0,8.1,3.0,1.2,.294,73.0%,4.07,4.22,0.0,CHC,RP
Gavin Hollowell,22.0,8.8,3.8,1.2,.290,72.7%,4.24,4.40,0.0,CHC,RP
Javier Assad,21.0,7.6,3.4,1.2,.297,71.6%,4.46,4.53,0.0,CHC,RP
Phil Bickford,17.0,8.5,3.4,1.3,.288,71.9%,4.37,4.45,0.0,CHC,RP
Ben Heller,15.0,9.4,3.4,1.0,.297,73.0%,3.83,3.91,0.0,CHC,RP
Michael Arias,12.0,8.3,5.2,1.1,.294,72.5%,4.53,4.79,0.0,CHC,RP
Brandon Birdsell,10.0,7.7,2.2,1.3,.288,72.5%,4.04,4.18,0.0,CHC,RP
Total,535.0,9.1,3.5,1.1,.291,73.6%,3.94,4.07,1.4,CHC,RP
Hunter Greene,182.0,10.7,3.3,1.4,.287,73.2%,4.16,4.13,3.0,CIN,SP
Brady Singer,170.0,8.5,2.6,1.3,.305,72.1%,4.24,4.18,2.3,CIN,SP
Andrew Abbott,156.0,8.7,3.3,1.6,.291,72.6%,4.66,4.73,1.7,CIN,SP
Nick Martinez,145.0,7.6,2.5,1.5,.298,71.0%,4.60,4.56,1.8,CIN,SP
Nick Lodolo,127.0,9.9,2.9,1.2,.300,73.0%,3.91,3.94,2.2,CIN,SP
Rhett Lowder,91.0,7.4,2.9,1.3,.301,71.1%,4.53,4.54,1.1,CIN,SP
Chase Petty,28.0,6.6,3.5,1.5,.298,70.1%,5.07,5.16,0.1,CIN,SP
Graham Ashcraft,9.0,7.6,2.4,1.2,.306,71.5%,4.20,4.17,0.1,CIN,SP
Carson Spiers,9.0,8.1,2.7,1.5,.294,71.8%,4.59,4.64,0.1,CIN,SP
Lyon Richardson,9.0,8.6,4.1,1.3,.300,72.3%,4.47,4.56,0.1,CIN,SP
Total,925.0,8.8,2.9,1.4,.297,72.2%,4.36,4.36,12.4,CIN,SP
Alexis Díaz,65.0,9.8,4.3,1.4,.290,72.6%,4.47,4.56,0.2,CIN,RP
Emilio Pagán,66.0,9.4,3.0,1.6,.287,73.6%,4.37,4.45,0.3,CIN,RP
Tony Santillan,64.0,10.0,4.1,1.3,.293,73.5%,4.29,4.38,0.2,CIN,RP
Sam Moll,61.0,9.1,3.7,1.2,.298,73.9%,4.04,4.23,0.2,CIN,RP
Brent Suter,60.0,7.2,2.9,1.4,.301,72.3%,4.51,4.64,-0.1,CIN,RP
Roansy Contreras,58.0,8.7,3.4,1.4,.295,72.5%,4.52,4.56,0.0,CIN,RP
Yosver Zulueta,56.0,8.8,4.1,1.0,.307,72.9%,4.07,4.17,0.1,CIN,RP
Casey Legumina,53.0,7.6,3.2,1.5,.297,71.2%,4.79,4.85,-0.1,CIN,RP
Luis Mey,48.0,7.8,5.6,1.3,.302,71.3%,5.10,5.28,-0.1,CIN,RP
Graham Ashcraft,42.0,7.6,2.4,1.2,.306,71.5%,4.20,4.17,0.0,CIN,RP
Carson Spiers,37.0,8.1,2.7,1.5,.294,71.8%,4.59,4.64,0.0,CIN,RP
Zach Maxwell,33.0,9.7,4.9,1.3,.294,73.3%,4.50,4.65,0.0,CIN,RP
Andrew Moore,32.0,9.2,5.1,1.3,.297,72.6%,4.63,4.79,0.0,CIN,RP
Connor Phillips,28.0,9.7,4.0,1.3,.295,73.2%,4.30,4.39,0.0,CIN,RP
Bryan Shaw,26.0,7.5,4.2,1.4,.302,70.9%,4.96,5.04,0.0,CIN,RP
Rhett Lowder,24.0,7.4,2.9,1.3,.301,71.1%,4.53,4.54,0.0,CIN,RP
Lyon Richardson,22.0,8.6,4.1,1.3,.300,72.3%,4.47,4.56,0.0,CIN,RP
Alan Busenitz,21.0,7.4,3.1,1.4,.295,71.6%,4.63,4.76,0.0,CIN,RP
Nick Martinez,17.0,7.6,2.5,1.5,.298,71.0%,4.60,4.56,0.0,CIN,RP
Reiver Sanmartin,15.0,7.5,3.6,1.2,.305,72.6%,4.36,4.51,0.0,CIN,RP
Tejay Antone,12.0,8.7,3.7,1.3,.298,72.5%,4.37,4.45,0.0,CIN,RP
Total,533.0,8.6,3.7,1.3,.297,72.5%,4.47,4.56,0.7,CIN,RP
Ryan Feltner,177.0,7.8,3.1,1.3,.312,69.3%,4.88,4.55,1.8,COL,SP
Austin Gomber,166.0,6.4,2.5,1.6,.310,68.9%,5.27,5.00,0.9,COL,SP
Germán Márquez,160.0,7.5,3.0,1.3,.316,70.1%,4.74,4.47,2.2,COL,SP
Kyle Freeland,153.0,6.7,2.4,1.5,.312,68.9%,5.12,4.82,1.3,COL,SP
Antonio Senzatela,124.0,5.8,2.5,1.3,.317,68.1%,5.10,4.78,1.3,COL,SP
Chase Dollander,65.0,7.9,3.6,1.5,.304,69.4%,5.10,4.92,0.4,COL,SP
Carson Palmquist,37.0,8.1,4.0,1.6,.296,70.6%,5.11,5.11,0.2,COL,SP
Tanner Gordon,18.0,6.5,2.2,1.6,.306,69.1%,5.07,4.88,0.1,COL,SP
Bradley Blalock,18.0,6.6,3.4,1.5,.307,68.8%,5.38,5.20,0.1,COL,SP
Total,919.0,7.0,2.8,1.4,.312,69.2%,5.04,4.76,8.2,COL,SP
Tyler Kinley,66.0,9.3,3.7,1.3,.304,71.8%,4.51,4.33,0.3,COL,RP
Seth Halvorsen,65.0,8.2,3.9,1.2,.311,70.5%,4.72,4.54,0.3,COL,RP
Luis Peralta,64.0,8.7,4.6,1.1,.311,71.8%,4.62,4.60,-0.1,COL,RP
Victor Vodnik,70.0,8.8,4.2,1.0,.316,71.8%,4.37,4.21,0.2,COL,RP
Angel Chivilli,61.0,8.1,3.6,1.3,.309,70.7%,4.70,4.55,0.0,COL,RP
Justin Lawrence,58.0,8.2,4.1,1.1,.316,70.7%,4.61,4.44,0.0,COL,RP
Jeff Criswell,53.0,8.4,3.3,1.4,.301,71.0%,4.69,4.57,0.0,COL,RP
Jake Bird,50.0,7.9,3.7,1.1,.317,70.3%,4.63,4.42,0.0,COL,RP
Lucas Gilbreath,48.0,8.4,4.4,1.2,.308,71.8%,4.60,4.60,0.0,COL,RP
Jimmy Herget,46.0,7.5,2.7,1.5,.305,69.7%,4.87,4.68,0.0,COL,RP
Evan Justice,41.0,8.4,5.5,1.3,.308,71.0%,5.13,5.14,-0.1,COL,RP
Jaden Hill,34.0,8.0,3.7,1.2,.314,70.1%,4.68,4.48,0.0,COL,RP
Anthony Molina,32.0,6.6,2.8,1.4,.312,69.4%,4.97,4.74,0.0,COL,RP
Zach Agnos,28.0,7.7,3.3,1.5,.305,70.1%,4.96,4.79,0.0,COL,RP
Tanner Gordon,26.0,6.5,2.2,1.6,.306,69.1%,5.07,4.88,0.0,COL,RP
Jack O'Loughlin,24.0,7.1,3.2,1.3,.309,70.6%,4.80,4.72,0.0,COL,RP
Bradley Blalock,22.0,6.6,3.4,1.5,.307,68.8%,5.38,5.20,0.0,COL,RP
Tyler Burch,21.0,6.3,3.7,1.5,.309,68.5%,5.53,5.33,-0.1,COL,RP
Juan Mejia,17.0,7.6,4.6,1.2,.313,69.9%,5.07,4.94,0.0,COL,RP
Jefry Yan,15.0,8.5,5.1,1.2,.306,71.8%,4.82,4.90,0.0,COL,RP
Antonio Senzatela,12.0,5.8,2.5,1.3,.317,68.1%,5.10,4.78,0.0,COL,RP
Carson Palmquist,10.0,8.1,4.0,1.6,.296,70.6%,5.11,5.11,0.0,COL,RP
Connor Van Scoyoc,8.0,5.8,3.1,1.3,.313,68.6%,5.13,4.95,0.0,COL,RP
Total,539.0,8.0,3.8,1.3,.310,70.7%,4.76,4.62,0.5,COL,RP
Sandy Alcantara,189.0,8.1,2.3,1.0,.304,71.8%,3.80,3.67,3.3,MIA,SP
Ryan Weathers,149.0,8.0,3.2,1.2,.297,73.0%,4.14,4.31,1.5,MIA,SP
Edward Cabrera,131.0,9.8,4.2,1.0,.299,72.8%,4.00,3.99,1.8,MIA,SP
Braxton Garrett,125.0,8.1,2.2,1.0,.305,72.0%,3.77,3.71,2.2,MIA,SP
Max Meyer,126.0,8.0,3.0,1.1,.301,71.7%,4.16,4.12,1.7,MIA,SP
Eury Pérez,81.0,10.0,2.9,1.2,.288,73.3%,3.91,3.84,1.3,MIA,SP
Valente Bellozo,54.0,6.7,2.9,1.5,.291,70.4%,4.87,4.95,0.3,MIA,SP
Adam Mazur,44.0,7.2,2.6,1.4,.293,70.9%,4.49,4.49,0.4,MIA,SP
Xzavion Curry,17.0,6.8,2.7,1.6,.290,70.1%,4.91,4.92,0.1,MIA,SP
Patrick Monteverde,9.0,6.8,2.9,1.3,.290,71.8%,4.45,4.65,0.1,MIA,SP
Total,926.0,8.3,2.9,1.1,.299,72.1%,4.06,4.05,12.5,MIA,SP
Calvin Faucher,66.0,9.1,3.7,1.0,.301,72.9%,3.91,3.88,0.4,MIA,RP
Jesus Tinoco,67.0,9.2,3.4,1.0,.298,73.3%,3.79,3.81,0.6,MIA,RP
Anthony Bender,64.0,9.2,3.2,0.9,.303,73.5%,3.65,3.66,0.5,MIA,RP
Declan Cronin,70.0,7.6,3.4,0.9,.308,71.8%,4.00,4.02,0.2,MIA,RP
Andrew Nardi,60.0,10.9,3.6,1.0,.290,75.9%,3.48,3.58,0.4,MIA,RP
Lake Bachar,56.0,8.0,3.5,1.3,.289,72.0%,4.42,4.54,0.0,MIA,RP
Anthony Veneziano,53.0,7.6,3.0,1.2,.295,72.5%,4.14,4.28,0.0,MIA,RP
George Soriano,50.0,8.4,3.8,1.2,.294,72.0%,4.37,4.48,0.0,MIA,RP
Xzavion Curry,48.0,6.8,2.7,1.6,.290,70.1%,4.91,4.92,-0.1,MIA,RP
Luarbert Arias,44.0,8.0,3.5,1.4,.286,71.6%,4.56,4.68,-0.1,MIA,RP
Valente Bellozo,41.0,6.7,2.9,1.5,.291,70.4%,4.87,4.95,-0.1,MIA,RP
Josh Simpson,34.0,9.2,4.3,1.0,.297,74.0%,3.91,4.11,0.0,MIA,RP
Evan Fitterer,33.0,6.8,4.2,1.0,.303,71.2%,4.43,4.61,0.0,MIA,RP
Patrick Monteverde,28.0,6.8,2.9,1.3,.290,71.8%,4.45,4.65,0.0,MIA,RP
Adam Mazur,26.0,7.2,2.6,1.4,.293,70.9%,4.49,4.49,0.0,MIA,RP
Max Meyer,24.0,8.0,3.0,1.1,.301,71.7%,4.16,4.12,0.0,MIA,RP
Braxton Garrett,22.0,8.1,2.2,1.0,.305,72.0%,3.77,3.71,0.0,MIA,RP
Edward Cabrera,21.0,9.8,4.2,1.0,.299,72.8%,4.00,3.99,0.0,MIA,RP
Christian Roa,18.0,8.7,4.3,1.1,.294,72.3%,4.35,4.46,0.0,MIA,RP
Dale Stanavich,15.0,8.4,4.4,1.0,.298,73.0%,4.23,4.43,0.0,MIA,RP
Ryan Weathers,12.0,8.0,3.2,1.2,.297,73.0%,4.14,4.31,0.0,MIA,RP
Matt Pushard,10.0,7.5,3.6,1.3,.293,71.2%,4.64,4.72,0.0,MIA,RP
Total,532.0,8.3,3.4,1.1,.296,72.4%,4.15,4.22,1.8,MIA,RP
Framber Valdez,195.0,8.6,2.9,0.8,.310,73.3%,3.42,3.45,3.7,HOU,SP
Hunter Brown,177.0,9.4,3.1,1.0,.301,73.2%,3.69,3.65,3.2,HOU,SP
Ronel Blanco,169.0,8.9,3.7,1.3,.292,72.6%,4.35,4.42,1.7,HOU,SP
Spencer Arrighetti,141.0,9.2,3.9,1.3,.290,72.2%,4.39,4.46,1.2,HOU,SP
Luis Garcia,109.0,8.8,2.8,1.3,.290,72.4%,4.21,4.19,1.2,HOU,SP
Lance McCullers Jr.,56.0,8.7,3.3,1.0,.303,72.7%,3.89,3.93,0.8,HOU,SP
Hayden Wesneski,53.0,8.5,2.9,1.3,.295,72.4%,4.17,4.21,0.6,HOU,SP
Ryan Gusto,18.0,7.3,3.0,1.4,.291,71.1%,4.54,4.65,0.1,HOU,SP
Colton Gordon,9.0,7.9,2.8,1.3,.286,73.0%,4.10,4.33,0.1,HOU,SP
J.P. France,9.0,7.9,3.0,1.3,.293,71.8%,4.38,4.41,0.1,HOU,SP
Total,937.0,8.9,3.3,1.1,.298,72.7%,3.99,4.01,12.7,HOU,SP
Josh Hader,70.0,12.5,3.6,1.1,.280,77.7%,3.16,3.24,1.4,HOU,RP
Ryan Pressly,64.0,9.5,2.8,0.9,.302,74.0%,3.47,3.41,0.8,HOU,RP
Bryan Abreu,75.0,11.4,3.6,0.9,.291,75.5%,3.30,3.31,1.0,HOU,RP
Tayler Scott,68.0,8.8,3.9,1.1,.294,72.1%,4.25,4.29,0.0,HOU,RP
Bryan King,61.0,9.0,3.6,1.0,.296,74.1%,3.76,3.96,0.2,HOU,RP
Kaleb Ort,58.0,9.2,3.6,1.3,.287,73.0%,4.24,4.34,0.0,HOU,RP
Forrest Whitley,54.0,9.5,3.8,1.0,.296,73.8%,3.77,3.88,0.1,HOU,RP
Hayden Wesneski,52.0,8.5,2.9,1.3,.295,72.4%,4.17,4.21,0.0,HOU,RP
Shawn Dubin,48.0,9.2,3.9,1.0,.298,73.3%,3.92,4.01,0.0,HOU,RP
Nick Hernandez,44.0,8.9,3.5,1.4,.282,72.8%,4.32,4.50,0.0,HOU,RP
Luis Contreras,41.0,8.5,3.7,1.3,.291,72.1%,4.39,4.50,0.0,HOU,RP
Bennett Sousa,36.0,8.7,3.6,1.1,.296,73.8%,3.92,4.11,0.0,HOU,RP
Rafael Montero,30.0,8.6,3.7,1.2,.296,71.8%,4.30,4.30,0.0,HOU,RP
Miguel Castro,28.0,7.9,3.7,1.1,.297,71.4%,4.38,4.45,0.0,HOU,RP
Steven Okert,26.0,9.5,3.8,1.3,.285,73.6%,4.21,4.41,0.0,HOU,RP
Lance McCullers Jr.,24.0,8.7,3.3,1.0,.303,72.7%,3.89,3.93,0.0,HOU,RP
Ryan Gusto,22.0,7.3,3.0,1.4,.291,71.1%,4.54,4.65,0.0,HOU,RP
J.P. France,21.0,7.9,3.0,1.3,.293,71.8%,4.38,4.41,0.0,HOU,RP
Colton Gordon,17.0,7.9,2.8,1.3,.286,73.0%,4.10,4.33,0.0,HOU,RP
Cristian Javier,15.0,9.9,3.0,1.4,.280,73.8%,4.00,4.04,0.0,HOU,RP
Luis Garcia,12.0,8.8,2.8,1.3,.290,72.4%,4.21,4.19,0.0,HOU,RP
A.J. Blubaugh,10.0,8.6,3.1,1.2,.292,72.9%,4.03,4.11,0.0,HOU,RP
Total,521.0,9.4,3.5,1.1,.292,73.5%,3.93,4.01,3.7,HOU,RP
Blake Snell,179.0,11.7,3.9,1.1,.290,76.0%,3.51,3.53,3.6,LAD,SP
Yoshinobu Yamamoto,159.0,9.5,2.5,1.1,.298,73.9%,3.57,3.54,3.1,LAD,SP
Tyler Glasnow,144.0,11.2,2.5,1.0,.295,75.2%,3.22,3.06,3.7,LAD,SP
Shohei Ohtani,139.0,10.5,2.9,1.1,.291,75.0%,3.49,3.53,2.8,LAD,SP
Tony Gonsolin,117.0,8.0,3.1,1.5,.292,71.2%,4.70,4.71,0.8,LAD,SP
Dustin May,82.0,9.5,3.1,1.1,.298,73.4%,3.73,3.73,1.5,LAD,SP
Bobby Miller,70.0,8.7,3.2,1.2,.298,72.5%,4.07,4.10,0.9,LAD,SP
Landon Knack,18.0,9.0,2.8,1.5,.286,72.9%,4.30,4.36,0.2,LAD,SP
Ben Casparius,9.0,8.6,3.9,1.4,.285,72.5%,4.57,4.77,0.0,LAD,SP
Justin Wrobleski,9.0,8.1,3.1,1.3,.291,73.4%,4.22,4.43,0.1,LAD,SP
Total,927.0,10.0,3.0,1.1,.294,74.1%,3.72,3.71,16.8,LAD,SP
Michael Kopech,66.0,10.6,4.1,1.2,.287,73.7%,4.04,4.07,0.3,LAD,RP
Blake Treinen,64.0,9.8,2.8,1.0,.297,74.2%,3.55,3.54,0.9,LAD,RP
Evan Phillips,63.0,10.2,2.9,1.1,.294,74.9%,3.51,3.52,0.7,LAD,RP
Anthony Banda,62.0,9.0,3.4,1.1,.294,74.4%,3.82,4.05,0.3,LAD,RP
Ryan Brasier,60.0,8.9,2.7,1.2,.295,73.2%,3.95,3.97,0.2,LAD,RP
Alex Vesia,59.0,11.1,3.9,1.3,.278,76.5%,3.74,3.96,0.3,LAD,RP
Michael Grove,54.0,9.6,2.6,1.2,.294,74.4%,3.66,3.71,0.1,LAD,RP
Edgardo Henriquez,50.0,9.2,4.2,1.3,.290,73.3%,4.30,4.49,0.0,LAD,RP
Giovanny Gallegos,46.0,8.5,3.2,1.5,.288,72.6%,4.56,4.68,-0.1,LAD,RP
Ben Casparius,42.0,8.6,3.9,1.4,.285,72.5%,4.57,4.77,-0.1,LAD,RP
Dustin May,40.0,9.5,3.1,1.1,.298,73.4%,3.73,3.73,0.1,LAD,RP
Justin Wrobleski,38.0,8.1,3.1,1.3,.291,73.4%,4.22,4.43,0.0,LAD,RP
Landon Knack,34.0,9.0,2.8,1.5,.286,72.9%,4.30,4.36,0.0,LAD,RP
Jack Dreyer,25.0,8.8,3.9,1.3,.290,74.1%,4.18,4.45,0.0,LAD,RP
Bobby Miller,26.0,8.7,3.2,1.2,.298,72.5%,4.07,4.10,0.0,LAD,RP
Brusdar Graterol,24.0,8.1,2.8,0.9,.303,73.4%,3.62,3.73,0.1,LAD,RP
Joe Jacques,22.0,6.9,3.4,1.0,.302,72.6%,4.13,4.43,0.0,LAD,RP
Nick Frasso,17.0,8.5,2.9,1.3,.290,73.0%,4.05,4.21,0.0,LAD,RP
Tony Gonsolin,15.0,8.0,3.1,1.5,.292,71.2%,4.70,4.71,0.0,LAD,RP
Justin Jarvis,13.0,7.7,3.1,1.5,.287,72.1%,4.62,4.79,0.0,LAD,RP
Ronan Kopp,10.0,9.4,5.6,1.2,.287,74.1%,4.46,4.87,0.0,LAD,RP
Total,531.0,9.3,3.3,1.2,.292,73.7%,3.99,4.10,2.9,LAD,RP
Freddy Peralta,178.0,10.4,3.2,1.2,.287,74.1%,3.78,3.81,3.1,MIL,SP
Brandon Woodruff,157.0,9.6,2.4,1.2,.291,73.6%,3.79,3.76,2.6,MIL,SP
Aaron Civale,143.0,8.5,2.7,1.5,.294,71.9%,4.45,4.41,1.5,MIL,SP
Tobias Myers,135.0,8.0,2.8,1.4,.291,71.9%,4.48,4.54,1.2,MIL,SP
Nestor Cortes,128.0,9.1,2.5,1.4,.284,74.0%,4.02,4.12,1.9,MIL,SP
Aaron Ashby,72.0,8.4,4.5,0.9,.306,73.0%,4.06,4.23,0.7,MIL,SP
DL Hall,53.0,9.4,3.9,1.1,.295,74.1%,3.95,4.13,0.7,MIL,SP
Jacob Misiorowski,28.0,9.4,4.5,1.2,.291,72.5%,4.32,4.49,0.2,MIL,SP
Chad Patrick,18.0,7.9,2.6,1.4,.286,72.0%,4.38,4.51,0.1,MIL,SP
Carlos Rodriguez,9.0,8.2,3.3,1.4,.285,72.3%,4.45,4.66,0.1,MIL,SP
Total,921.0,9.1,3.0,1.3,.291,73.1%,4.09,4.14,12.2,MIL,SP
Trevor Megill,65.0,11.1,3.2,1.0,.292,74.9%,3.48,3.41,1.1,MIL,RP
Jared Koenig,64.0,9.0,3.0,1.0,.297,74.5%,3.61,3.75,0.6,MIL,RP
Joel Payamps,63.0,8.8,2.9,1.1,.293,73.5%,3.86,3.95,0.4,MIL,RP
Bryan Hudson,62.0,9.8,3.3,1.0,.295,75.3%,3.55,3.71,0.5,MIL,RP
Nick Mears,60.0,11.0,4.0,1.0,.292,75.2%,3.63,3.66,0.3,MIL,RP
Elvis Peguero,58.0,8.5,3.7,0.9,.305,72.7%,3.92,3.96,0.1,MIL,RP
Connor Thomas,54.0,6.6,2.3,1.0,.301,72.6%,3.89,4.09,0.0,MIL,RP
Abner Uribe,53.0,10.7,4.8,0.8,.300,75.4%,3.51,3.68,0.2,MIL,RP
Craig Yoho,50.0,9.9,3.7,1.0,.297,74.2%,3.72,3.79,0.1,MIL,RP
DL Hall,47.0,9.4,3.9,1.1,.295,74.1%,3.95,4.13,0.1,MIL,RP
Jacob Misiorowski,37.0,9.4,4.5,1.2,.291,72.5%,4.32,4.49,0.0,MIL,RP
Aaron Ashby,36.0,8.4,4.5,0.9,.306,73.0%,4.06,4.23,0.0,MIL,RP
Grant Anderson,34.0,8.8,3.4,1.2,.292,72.7%,4.17,4.27,0.0,MIL,RP
J.B. Bukauskas,28.0,7.9,3.0,1.0,.303,72.6%,3.90,3.96,0.0,MIL,RP
Grant Wolfram,25.0,8.4,4.1,1.2,.293,73.4%,4.27,4.51,0.0,MIL,RP
Chad Patrick,24.0,7.9,2.6,1.4,.286,72.0%,4.38,4.51,0.0,MIL,RP
Deivi García,23.0,8.7,4.3,1.3,.290,72.2%,4.55,4.69,0.0,MIL,RP
Vinny Nittoli,19.0,8.3,3.1,1.3,.291,72.2%,4.34,4.43,0.0,MIL,RP
Nestor Cortes,18.0,9.1,2.5,1.4,.284,74.0%,4.02,4.12,0.0,MIL,RP
Bruce Zimmermann,15.0,8.2,2.1,1.2,.296,73.8%,3.78,3.88,0.0,MIL,RP
Carlos Rodriguez,12.0,8.2,3.3,1.4,.285,72.3%,4.45,4.66,0.0,MIL,RP
Logan Henderson,10.0,9.6,2.6,1.3,.285,74.1%,3.86,3.92,0.0,MIL,RP
Total,537.0,9.2,3.5,1.1,.296,73.8%,3.86,3.97,3.4,MIL,RP
MacKenzie Gore,174.0,9.7,3.4,1.1,.289,74.1%,3.75,3.87,2.7,WSH,SP
Jake Irvin,169.0,7.5,2.9,1.3,.294,71.6%,4.34,4.45,1.6,WSH,SP
Mitchell Parker,145.0,7.9,3.3,1.3,.288,72.9%,4.26,4.46,1.3,WSH,SP
DJ Herz,130.0,9.7,4.4,1.2,.280,74.5%,4.01,4.33,1.5,WSH,SP
Trevor Williams,96.0,7.2,2.7,1.4,.293,71.4%,4.50,4.59,0.8,WSH,SP
Cade Cavalli,83.0,8.5,3.4,1.2,.290,72.1%,4.18,4.30,0.9,WSH,SP
Michael Soroka,80.0,8.4,3.5,1.2,.293,72.0%,4.25,4.36,0.9,WSH,SP
Jackson Rutledge,9.0,7.7,3.6,1.2,.288,71.7%,4.36,4.59,0.1,WSH,SP
Brad Lord,9.0,6.5,3.3,1.2,.293,70.5%,4.56,4.74,0.1,WSH,SP
Josiah Gray,9.0,8.3,3.4,1.5,.284,72.1%,4.59,4.76,0.1,WSH,SP
Total,905.0,8.5,3.4,1.2,.289,72.8%,4.17,4.32,9.9,WSH,SP
Derek Law,77.0,7.8,3.1,1.0,.295,72.8%,3.94,4.09,0.4,WSH,RP
